method,growth_group_count,median_cross_validation_fold,mean_cross_validation_fold,median_true_rq_nm,mean_true_rq_nm,median_generated_rq_nm,mean_generated_rq_nm,median_rq_absolute_error_nm,mean_rq_absolute_error_nm,median_condition_descriptor_mae_z,mean_condition_descriptor_mae_z,median_generated_pairwise_l1,mean_generated_pairwise_l1,median_real_pairwise_l1,mean_real_pairwise_l1,median_diversity_ratio,mean_diversity_ratio,median_unit_l1,mean_unit_l1,median_unit_rmse,mean_unit_rmse,median_ssim,mean_ssim,median_gradient_mae,mean_gradient_mae,median_physical_ra_error_nm,mean_physical_ra_error_nm,median_physical_robust_height_range_error_nm,mean_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,mean_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,mean_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,mean_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,mean_normalized_psd_log_distance,median_psd_low_band_error,mean_psd_low_band_error,median_psd_mid_band_error,mean_psd_mid_band_error,median_psd_high_band_error,mean_psd_high_band_error,median_psd_slope_error,mean_psd_slope_error,median_correlation_length_abs_error_nm,mean_correlation_length_abs_error_nm,median_correlation_length_relative_error,mean_correlation_length_relative_error,median_anisotropy_error,mean_anisotropy_error,median_skewness_error,mean_skewness_error,median_kurtosis_error,mean_kurtosis_error,median_height_quantile_error,mean_height_quantile_error,median_ra_rq_error,mean_ra_rq_error,median_physical_psd_distance,mean_physical_psd_distance,median_physical_correlation_length_error_nm,mean_physical_correlation_length_error_nm,median_ssim_penalty,mean_ssim_penalty,median_composite_score,mean_composite_score,median_nearest_training_l1,mean_nearest_training_l1,median_max_training_ssim,mean_max_training_ssim,median_exact_training_pixel_equality,mean_exact_training_pixel_equality,median_generated_mean_gradient,mean_generated_mean_gradient,median_real_mean_gradient,mean_real_mean_gradient,median_mean_gradient_relative_error,mean_mean_gradient_relative_error,median_generated_rms_gradient,mean_generated_rms_gradient,median_real_rms_gradient,mean_real_rms_gradient,median_rms_gradient_relative_error,mean_rms_gradient_relative_error,median_generated_laplacian_rms,mean_generated_laplacian_rms,median_real_laplacian_rms,mean_real_laplacian_rms,median_laplacian_rms_relative_error,mean_laplacian_rms_relative_error,median_generated_edge_energy_ratio,mean_generated_edge_energy_ratio,median_real_edge_energy_ratio,mean_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,mean_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,mean_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,mean_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,mean_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,mean_generated_high_psd_fraction,median_real_high_psd_fraction,mean_real_high_psd_fraction,median_high_psd_fraction_relative_error,mean_high_psd_fraction_relative_error,median_generated_robust_height_range,mean_generated_robust_height_range,median_real_robust_height_range,mean_real_robust_height_range,median_robust_height_range_relative_error,mean_robust_height_range_relative_error,median_generated_skewness,mean_generated_skewness,median_real_skewness,mean_real_skewness,median_skewness_relative_error,mean_skewness_relative_error,median_generated_kurtosis,mean_generated_kurtosis,median_real_kurtosis,mean_real_kurtosis,median_kurtosis_relative_error,mean_kurtosis_relative_error,median_sharpness_ratio,mean_sharpness_ratio,median_afm_texture_gate_pass,mean_afm_texture_gate_pass,texture_gate_pass_fraction
M10_dense_island_spectral_pareto,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.0610859394073486,1.064815193414688,1.1253926753997803,1.1239679157733917,1.0997961461544037,1.0968925505876541,1.0313446763527505,1.0252684601153312,1.1220247149467468,1.1242527663707733,1.4200387597084045,1.4224569499492645,0.010414632887445388,0.015502890480382349,39.48074890886739,40.044689249093004,0.028364068749407445,0.039023434725567296,0.4674674922227877,0.46103995472192805,0.1592305056914784,0.19287859632471963,1.9695498008729864,2.4893763034437484,1.9412038874122572e-06,2.439429920092495e-06,0.5803835655861856,0.5968033720726107,0.0016213639411909453,0.0015010262749014236,0.0015320265252784246,0.0014268131745281704,6.977746350128114e-05,7.955743970684623e-05,0.0685332141006949,0.14060664302483195,19.68503937007874,15.748031496062993,0.5,0.4375,0.1785714285714286,0.19940476190476192,0.2956381528492001,0.4592153308699488,0.5575756441305357,0.775582233025304,0.11634349597884074,0.14526326442004303,0.015169314354001262,0.015288297520155592,0.5803835655861856,0.5968033720726107,19.68503937007874,15.748031496062993,0.9895853671125546,0.9844971095196177,8.377455672048816,8.417593062055353,1.044232428073883,1.0444753468036652,0.04084036859359104,0.040514611570920296,0.0,0.0,0.3127348870038986,0.31699277460575104,0.3658824861049652,0.3508215993642807,0.19621018518168998,0.210216340503352,0.3695772960782051,0.3745146654546261,0.46520526707172394,0.45445453375577927,0.21388373122454823,0.16834206069666463,0.42044100165367126,0.44996942952275276,0.5464951395988464,0.554232269525528,0.16586271016789875,0.18864268377752486,1.018410325050354,1.0244018584489822,0.9564096331596375,0.9393429756164551,0.09310488528821864,0.10387178178516018,1.0038429498672485,1.0047268196940422,4.278414368629456,4.983563721179962,0.767633145717224,0.7866304462389533,9.184061841489852e-05,0.0001254109091111832,0.0001101442935838217,0.00018295574616125903,0.4022332234156435,0.4161890296641127,4.697693524956703,4.721555373072624,4.763149765729905,4.743667996525765,0.020373021871135145,0.020788145315997555,0.0335407275112051,0.03539564206088501,-0.42843076690505344,-0.41478635505232225,0.9906073084987342,0.9898393974382811,3.1547843422578223,3.1192206258385067,3.485404897541609,3.8243179351642285,0.12618643958042844,0.16380073169264805,0.8299983372249033,0.9393518843999267,1.0,1.0,1.0
M16b_baseline_dense_microisland_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.4742487072944641,1.5968134850263596,1.1414013504981995,1.1391063332557678,1.0997961461544037,1.0968925505876541,1.0479649384773193,1.0390519096169606,1.1316323280334473,1.1314726173877716,1.4097245931625366,1.4119533896446228,0.01654379274160249,0.01571600398621794,38.85132874720983,39.60673425562493,0.08349481506907663,0.11672106870932497,0.7498679989576342,1.2069760110974306,0.2951862067684947,0.4015985879405307,1.9695497848556034,2.489376250184958,1.9572212702767544e-06,2.4926887107756812e-06,0.9963416286077587,1.4101047116733303,0.002416502249300234,0.0023165300046825987,0.00233614487798804,0.0021647832516688485,8.03573713122842e-05,0.00015174675301370556,0.31427477293820516,1.0368774409111912,15.748031496062993,13.779527559055119,0.45,0.375,0.10833333333333328,0.1255952380952381,0.7061393907274107,0.6417168097243778,1.0981629186824113,1.2850807394550803,0.24629391977031317,0.22876685098478844,0.042668408324995744,0.04193953660407099,0.9963416286077587,1.4101047116733303,15.748031496062993,13.779527559055119,0.9834562072583976,0.9842839960137821,8.326940095638687,8.570871691876082,1.0563151240348816,1.0531562864780426,0.044515144873468054,0.04638120023944634,0.0,0.0,0.29298877716064453,0.3039432130753994,0.3658824861049652,0.3508215993642807,0.22387790975811267,0.21960930103513648,0.3534874692559242,0.3640790544450283,0.46520526707172394,0.45445453375577927,0.2207842515949517,0.1921320489582598,0.308791883289814,0.3059319667518139,0.5464951395988464,0.554232269525528,0.43363092747100696,0.4437913246712196,1.020557627081871,1.0236070975661278,0.9564096331596375,0.9393429756164551,0.08885196665564041,0.09381744546244075,1.0225970298051834,1.0434984117746353,4.278414368629456,4.983563721179962,0.7589244281084128,0.7782857845922996,2.1479196981070617e-05,1.7452002457607748e-05,0.0001101442935838217,0.00018295574616125903,0.7859920929144755,0.8267486508213383,4.326511089503766,4.32278507873416,4.763149765729905,4.743667996525765,0.09063272758021221,0.08803220271038364,0.19581799078896306,0.19512366414412136,-0.42843076690505344,-0.41478635505232225,1.2314363011955065,1.1960988030357254,2.5596386521679104,2.550874196760649,3.485404897541609,3.8243179351642285,0.29885399039503224,0.3166198008600624,0.8152831523353907,0.8970783761473833,1.0,1.0,1.0
M17a_fixed_sparse_peak_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.161249041557312,1.2065801620483398,1.1304820775985718,1.1336490362882614,1.0997961461544037,1.0968925505876541,1.0390302991680573,1.0341192015123937,1.1319211721420288,1.128610998392105,1.411204993724823,1.4104172885417938,0.012402008353651621,0.012886632746267456,38.851633317130705,40.20384918314066,0.07999392386393223,0.10971388569285878,0.5861558222770689,1.1312520152330392,0.2921899204848229,0.3971754572103077,1.9695497663078048,2.4893762497700678,1.975769069018085e-06,2.4931036012032504e-06,0.6543001689266762,0.6788040569984638,0.0014687420356339076,0.0016016406495718005,0.0014059827402496633,0.0015506986345856207,6.275929538430977e-05,5.961358053812717e-05,0.20861974660568072,0.16430138858786425,15.748031496062993,13.779527559055119,0.45,0.375,0.10833333333333328,0.1255952380952381,0.7061290262844825,0.6607537329795167,1.0981491337141067,1.098909865583202,0.24350812085771142,0.21387115646172394,0.040545779607419785,0.034340842716975656,0.6543001689266762,0.6788040569984638,15.748031496062993,13.779527559055119,0.9875979916463484,0.9871133672537326,8.32691232899268,8.468953063922305,1.051051378250122,1.0505249798297882,0.04451462229415651,0.045316723637826274,0.0,0.0,0.2981634885072708,0.3155274949967861,0.3658824861049652,0.3508215993642807,0.24470464856821378,0.20875394368426642,0.359193779528141,0.37783966958522797,0.46520526707172394,0.45445453375577927,0.17780591605480772,0.16312408632318667,0.345230296254158,0.40683426707983017,0.5464951395988464,0.554232269525528,0.3151804596049463,0.2744606319662202,1.0216074883937836,1.0241392701864243,0.9564096331596375,0.9393429756164551,0.08750817451430051,0.09455053995885634,1.0111178904771805,1.0438630655407906,4.278414368629456,4.983563721179962,0.7559737814940962,0.7776013506170709,5.084638287525371e-05,0.00012139725914714189,0.0001101442935838217,0.00018295574616125903,0.4519995869899506,0.44005342641440953,4.37295363754034,4.481952225714922,4.763149765729905,4.743667996525765,0.06837702752579572,0.07185861854128271,0.17886812591925477,0.15725649830902977,-0.42843076690505344,-0.41478635505232225,1.23438697673866,1.2187568459970637,2.6378088585665633,2.7649482642076477,3.485404897541609,3.8243179351642285,0.29884413470714044,0.262468427713119,0.8577802772893812,0.9287604723083545,1.0,1.0,1.0
M17b_topology_sparse_peak_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.160086989402771,1.2059790939092636,1.1307810246944427,1.1337987333536148,1.0997961461544037,1.0968925505876541,1.03930027811808,1.0342543895627672,1.1320688128471375,1.1286916136741638,1.411247730255127,1.4105768501758575,0.012444487141330665,0.012907750108706713,38.851622529071605,40.201653733341026,0.08003853807699757,0.10983236017479517,0.5854101586341862,1.1216207274794576,0.2921077214328085,0.3973886461441535,1.969549822104311,2.4893762842122005,1.919972562713923e-06,2.4586614680299768e-06,0.6545466021564839,0.6795212463383892,0.0014648910068749688,0.0015997533734229408,0.0014035640100159104,0.0015495582978167456,6.132699685902808e-05,5.892815579223968e-05,0.2089673091226938,0.16555604479223174,15.748031496062993,13.779527559055119,0.45,0.375,0.10833333333333328,0.1255952380952381,0.7061303176367051,0.6623480125631421,1.0981448104931335,1.0982641763424223,0.24333454535741897,0.21489927582355445,0.04057291257387513,0.03447400476901008,0.6545466021564839,0.6795212463383892,15.748031496062993,13.779527559055119,0.9875555128586693,0.9870922498912933,8.326909899884516,8.468881236932386,1.0511791110038757,1.0505889356136322,0.044514364345747647,0.04522996007174797,0.0,0.0,0.29815417528152466,0.3154953047633171,0.3658824861049652,0.3508215993642807,0.24466716548807615,0.20880029245400433,0.3591800928115845,0.3778008632361889,0.46520526707172394,0.45445453375577927,0.17793176565341962,0.16320510188956536,0.3452502191066742,0.4070080518722534,0.5464951395988464,0.554232269525528,0.3151393329295047,0.2741814939355647,1.0226845741271973,1.0246779769659042,0.9564096331596375,0.9393429756164551,0.0882911775675739,0.09512034550926773,1.01125068962574,1.04463379830122,4.278414368629456,4.983563721179962,0.7556379315737347,0.777423091282389,5.0921584975373326e-05,0.0001216873758288949,0.0001101442935838217,0.00018295574616125903,0.4508271577756603,0.439001825582056,4.372578820586204,4.471647932827472,4.763149765729905,4.743667996525765,0.06414913061475105,0.06978561438898563,0.17886896789547013,0.15499541413576223,-0.42843076690505344,-0.41478635505232225,1.23378486183137,1.2312128535986366,2.637811987261016,2.756244141509249,3.485404897541609,3.8243179351642285,0.2988433526163641,0.2598500368341056,0.8576502353920799,0.928676640458479,1.0,1.0,1.0
M17c_topology_sparse_finetexture_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.144955813884735,1.1561425775289536,1.1303022801876068,1.1335591226816177,1.0997961461544037,1.0968925505876541,1.0388692900260912,1.034038683703053,1.1224988102912903,1.1133842170238495,1.39669668674469,1.3921625316143036,0.015863924750095876,0.016886449661445087,38.85199077687839,40.776250274095396,0.07978138935525303,0.1102041684764512,0.613671492338181,1.1491140723228455,0.29166435582524647,0.39633050570231676,1.9695498464092518,2.4893762901236847,1.895667621876207e-06,2.452749983838931e-06,0.8230681670472838,0.8262782798110043,0.001822150005419132,0.0017009072288327876,0.0014858426660149544,0.0014833142544375107,9.887860938655593e-05,0.00021759297439538148,0.352827750953691,0.35760235895894843,11.811023622047244,13.779527559055119,0.325,0.3482142857142857,0.10833333333333328,0.1255952380952381,0.706124288090767,0.67996351636772,1.0981477625655969,1.0934758431900127,0.24210619614326528,0.21966173360307162,0.040416959972555344,0.03501831405839903,0.8230681670472838,0.8262782798110043,11.811023622047244,13.779527559055119,0.9841360752499041,0.983113550338555,8.3269070591122,8.62144772526527,1.0465009212493896,1.0482501983642578,0.04161911042636551,0.04252641552083708,0.0,0.0,0.3049405738711357,0.3308083526790142,0.3658824861049652,0.3508215993642807,0.24493651422310658,0.21544689060925276,0.3661501482129097,0.3947781138122082,0.46520526707172394,0.45445453375577927,0.12705700770886783,0.13353698723210938,0.3876800835132599,0.4980750232934952,0.5464951395988464,0.554232269525528,0.421018511060616,0.33833230281370913,1.0262656509876251,1.0264707058668137,0.9564096331596375,0.9393429756164551,0.09020895568877361,0.09707181288139374,1.0096257627010345,1.0435571670532227,4.278414368629456,4.983563721179962,0.7553349250043688,0.7775061346151814,9.147780936225795e-05,0.0003043602118744899,0.0001101442935838217,0.00018295574616125903,0.8573695922008624,0.9480438967244844,4.384861209690571,4.4664517442882055,4.763149765729905,4.743667996525765,0.05946920110667516,0.06607407942404621,0.17792575859674187,0.1346383616477505,-0.42843076690505344,-0.41478635505232225,1.2302199021363096,1.3499355872482928,2.637525150933932,2.7559956544636854,3.485404897541609,3.8243179351642285,0.29884502229854726,0.2598488035097647,0.913976780740317,0.9705103763861462,1.0,1.0,1.0
M17d_multiscale_texture_no_peak_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.1449522972106934,1.1406840533018112,1.131564438343048,1.1341898143291473,1.0997961461544037,1.0968925505876541,1.0400130859415004,1.0346102374634634,1.1224985718727112,1.1136510372161865,1.396696388721466,1.3922591507434845,0.015902994925267852,0.01686227180730284,38.852131688704624,41.166552666800584,0.08003132969663973,0.11070620787462232,0.6119030892848976,1.1497745314240455,0.2909436193574485,0.3970569227474853,1.9695498505547713,2.48937628469448,1.8915221026150064e-06,2.458179188286058e-06,0.8990170076271535,0.8840710323537571,0.002416103687235549,0.0021650838227096625,0.0021621751009460524,0.0018757096148615776,0.00011398516081152089,0.00028937420784816274,0.39881998058210644,0.39834352530789585,11.811023622047244,13.779527559055119,0.325,0.3482142857142857,0.10833333333333328,0.1255952380952381,0.7061232651945413,0.692623684377696,1.0981446398230095,1.1252464474224841,0.24122066244216905,0.22256537843495605,0.04056863937598987,0.03556308424241991,0.8990170076271535,0.8840710323537571,11.811023622047244,13.779527559055119,0.9840970050747322,0.9831377281926972,8.3269107673312,8.71728399407933,1.0477631092071533,1.0488816499710083,0.04112866250967952,0.04233908602712403,0.0,0.0,0.3076009899377823,0.3374429792165756,0.3658824861049652,0.3508215993642807,0.24492741800293288,0.2333303268431622,0.3688284531235695,0.40197761729359627,0.46520526707172394,0.45445453375577927,0.14026111380331446,0.14480912509894905,0.4023728519678116,0.5309741273522377,0.5464951395988464,0.554232269525528,0.43345390589316424,0.36816191210631105,1.0291332006454468,1.0279080122709274,0.9564096331596375,0.9393429756164551,0.09251525856356387,0.09857494129725669,1.0098280161619186,1.0437834337353706,4.278414368629456,4.983563721179962,0.7552861108066156,0.7774645042424287,0.0001051401639105748,0.00037843406617189015,0.0001101442935838217,0.00018295574616125903,1.0262304773431126,1.1886169473538364,4.385801671445369,4.462639949768782,4.763149765729905,4.743667996525765,0.05788909379837626,0.06507665093795542,0.17140381372863617,0.11365883163363155,-0.42843076690505344,-0.41478635505232225,1.3996705512268415,1.4610358728324475,2.6320265884750738,2.7210733447182025,3.485404897541609,3.8243179351642285,0.2988442812320637,0.26857273955858035,0.9390453327561954,0.9884029088402293,1.0,1.0,1.0
M17e_broad_sparse_peak_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.2960937023162842,1.290854275226593,1.1248329877853394,1.1308257579803467,1.0997961461544037,1.0968925505876541,1.03391237586706,1.0315613651222804,1.1277554631233215,1.1285048425197601,1.4156144261360168,1.41450834274292,0.008787446991577873,0.010729574465579941,38.85156713945515,39.52590486557423,0.0880911084624788,0.11524780627923059,0.5967904853820787,1.1343585604429234,0.328606155090147,0.4150015940725128,1.9695498287939681,2.4893762862295086,1.9132829056633938e-06,2.4566441601259204e-06,0.689081595844247,0.7200865379371684,0.001773833168396577,0.0018033799263020567,0.0017046310851419875,0.0017465611521667547,6.920208325463906e-05,6.017697516078352e-05,0.1942784447053021,0.15703910181458258,15.748031496062993,13.779527559055119,0.45,0.375,0.25,0.21726190476190477,0.706128695156073,0.6870688280175823,1.0981822054424077,1.3587645719062307,0.2545872359643025,0.23320822229708663,0.045454417913059986,0.03864234479002798,0.689081595844247,0.7200865379371684,15.748031496062993,13.779527559055119,0.9912125530084221,0.9892704255344201,8.326884738554142,8.348865210394004,1.0429383516311646,1.0464682877063751,0.044511248439137875,0.04545298117171304,0.0,0.0,0.2964140698313713,0.3092596307396889,0.3658824861049652,0.3508215993642807,0.2376637368357698,0.2179817294818282,0.35724829882383347,0.3710595592856407,0.46520526707172394,0.45445453375577927,0.2007020981989042,0.17713070020719227,0.34159447997808456,0.39257102087140083,0.5464951395988464,0.554232269525528,0.3225919114445774,0.2978250737271286,1.0280624628067017,1.027362197637558,0.9564096331596375,0.9393429756164551,0.0936007990747602,0.09784626091918709,1.0169338434934616,1.0485518649220467,4.278414368629456,4.983563721179962,0.7551145639738948,0.7767713345788404,5.240768271139068e-05,0.00012022004274044097,0.0001101442935838217,0.00018295574616125903,0.4610982260639602,0.4349422389016994,4.3775015902519225,4.500888646245003,4.763149765729905,4.743667996525765,0.07540461790799419,0.07484238028609795,0.21342424153459777,0.20687850268075147,-0.42843076690505344,-0.41478635505232225,1.2498207844730183,1.2243967829695293,2.636574792195299,2.953690162672902,3.485404897541609,3.8243179351642285,0.2988564501686549,0.31953340029605326,0.8322869053050976,0.9124917747783488,1.0,1.0,1.0
M17f_broad_sparse_finetexture_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.1482054591178894,1.2021900117397308,1.1271007061004639,1.1319590210914612,1.0997961461544037,1.0968925505876541,1.0359676085064944,1.0325884519076984,1.1297284364700317,1.1274747848510742,1.4118115901947021,1.4106854796409607,0.011706326861244275,0.012538380498671039,38.85180278281135,40.49228580027187,0.079349979193162,0.10956105380540515,0.5867738819122308,1.1205085486173623,0.29223421230008273,0.3972025963747151,1.9695497565523536,2.489376239745733,1.9855245201316762e-06,2.5031279355380853e-06,0.7009798487038319,0.7655683808339789,0.0009940959670389216,0.0012959995846709982,0.0009894918523897143,0.0012504334341834659,8.302629226400544e-05,0.00012630736668122356,0.2648584018388631,0.29144133962158614,15.748031496062993,13.779527559055119,0.45,0.375,0.10833333333333328,0.1255952380952381,0.7061334612222887,0.6551513092963583,1.0981470599520415,1.1883429757910045,0.24183714605601772,0.21321997789316813,0.04015536035747941,0.034355979661385705,0.7009798487038319,0.7655683808339789,15.748031496062993,13.779527559055119,0.9882936731387557,0.9874616195013289,8.326906832339867,8.552606832938677,1.0483886003494263,1.049193561077118,0.04451295185853023,0.04457130410133358,0.0,0.0,0.3010796085000038,0.320373110473156,0.3658824861049652,0.3508215993642807,0.24494953430296307,0.20661408224861302,0.36208151280879974,0.3832579739391804,0.46520526707172394,0.45445453375577927,0.16214694499783616,0.15149067331849783,0.3681009039282799,0.4517967291176319,0.5464951395988464,0.554232269525528,0.305728606125809,0.3006256725416822,1.02311572432518,1.0248919129371643,0.9564096331596375,0.9393429756164551,0.08740443074333094,0.09544244941479589,1.0118262022733688,1.0455933809280396,4.278414368629456,4.983563721179962,0.755310514355571,0.7772206374851591,7.624240207058145e-05,0.00022257513808451366,0.0001101442935838217,0.00018295574616125903,0.6942738686787752,0.6816703708014902,4.37886349529028,4.476637940853834,4.763149765729905,4.743667996525765,0.0649226910224847,0.06948522502929412,0.17887021068574624,0.17163831202911212,-0.42843076690505344,-0.41478635505232225,1.2427610179373367,1.1558963335183738,2.6528937293714394,2.857585644009978,3.485404897541609,3.8243179351642285,0.2988475876482533,0.2865465823356095,0.873782105343138,0.9426368858643808,1.0,1.0,1.0
M17g_moderate_broad_topology_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.1755765080451965,1.212313175201416,1.1275023221969604,1.1321599185466766,1.0997961461544037,1.0968925505876541,1.0363376821484116,1.032773568158802,1.1299585700035095,1.1276528537273407,1.4117504954338074,1.4107597172260284,0.011623482950596772,0.012497017266319807,38.85166007959022,40.19331867847691,0.07953159089704909,0.1095329185607905,0.5861247336864475,1.1203507313132284,0.29233543376581067,0.39720190603868794,1.9695497515107983,2.4893762456527146,1.9905660754160337e-06,2.497220953606716e-06,0.6627476839127815,0.6991713753061676,0.0014145012807346147,0.0015627175547514305,0.001385753730405618,0.0015319816632524213,4.760882938722338e-05,4.95971705572404e-05,0.2158626273229789,0.1995751375479814,15.748031496062993,13.779527559055119,0.45,0.375,0.10833333333333328,0.1255952380952381,0.7061341311685065,0.6449168378989177,1.0981462967659021,1.1914958547615841,0.2419165597616562,0.21283806707185113,0.04026538584281669,0.034263074967040674,0.6627476839127815,0.6991713753061676,15.748031496062993,13.779527559055119,0.9883765170494032,0.9875029827336802,8.326909859118135,8.47284115662138,1.0483372807502747,1.0491676330566406,0.04451330099831574,0.04497403090833067,0.0,0.0,0.29873742908239365,0.3153800740838051,0.3658824861049652,0.3508215993642807,0.2449596412142672,0.21093546783672573,0.3597384989261627,0.3779025115072727,0.46520526707172394,0.45445453375577927,0.17863601818611158,0.16282039405453055,0.35001417994499207,0.4139125421643257,0.5464951395988464,0.554232269525528,0.30545204317256003,0.27348078941029447,1.0205985307693481,1.0236317962408066,0.9564096331596375,0.9393429756164551,0.08632307886556127,0.094049392411221,1.0135470181703568,1.0457108318805695,4.278414368629456,4.983563721179962,0.7556692787164689,0.7772815886362103,5.6789401565131e-05,0.00014247981466913184,0.0001101442935838217,0.00018295574616125903,0.4047054657824946,0.3982737859391114,4.380063236951828,4.475661979615689,4.763149765729905,4.743667996525765,0.06424652907971051,0.06902522405108283,0.17887296676935396,0.1787868455053336,-0.42843076690505344,-0.41478635505232225,1.2413159512236343,1.104514178081017,2.652472070134671,2.8619506882069876,3.485404897541609,3.8243179351642285,0.2988474253218575,0.28796428312837724,0.8557228362476372,0.9288888954456886,1.0,1.0,1.0
M17h_hierarchical_sparse_island_terrace,4,1.5,6.25,1.9695517420768738,2.4893787428736687,1.4561805161198824,1.9684793764939787,0.5133712259569914,0.5352363828211502,1.3907265067100525,1.3483300060033798,1.1229014992713928,1.125070571899414,1.0997961461544037,1.0968925505876541,1.0273338137035444,1.0263951491152659,1.1227880120277405,1.1240904927253723,1.4125936031341553,1.4120271503925323,0.011816841390234145,0.01259563916279621,38.85191247314655,40.314810487430385,0.07991381551624532,0.11525109164733396,0.6587427967786781,1.172582502663135,0.2973207008271168,0.40262283076325156,1.9695497476600705,2.489376234194418,1.99441680315271e-06,2.508679250612378e-06,0.6629702241887871,0.745811028578578,0.0010593114801636938,0.001344467501265656,0.001105611700125271,0.001357903374145542,8.03271542377827e-05,9.37630271176479e-05,0.2318438557859348,0.263235082162681,15.748031496062993,15.748031496062993,0.45,0.4107142857142857,0.10833333333333328,0.1255952380952381,0.7061374534178282,0.7604481548802609,1.5344019733052774,1.5360081454140224,0.24865567795134022,0.2308739112437305,0.04049765759107948,0.04125276948483572,0.6629702241887871,0.745811028578578,15.748031496062993,15.748031496062993,0.9881831586097658,0.9874043608372037,8.326931350791915,8.522755500258501,1.0405200719833374,1.0444391369819641,0.04450813874197042,0.045681736218866266,0.0,0.0,0.29981108754873276,0.3162122219800949,0.3658824861049652,0.3508215993642807,0.24495349779759215,0.21239765118318285,0.3611060604453087,0.37985020875930786,0.46520526707172394,0.45445453375577927,0.17365975263614455,0.15852977576303318,0.3611810728907585,0.4372375048696995,0.5464951395988464,0.554232269525528,0.2827343809257008,0.2901381111544732,1.0233420431613922,1.025002360343933,0.9564096331596375,0.9393429756164551,0.08784481024623124,0.09553663135747109,1.0177100896835327,1.0443187355995178,4.278414368629456,4.983563721179962,0.7573343092342364,0.7778310570880191,6.892588325917414e-05,0.0001910857178852354,0.0001101442935838217,0.00018295574616125903,0.5650218772226525,0.5718284481691731,4.387219229340554,4.554209176898002,4.763149765729905,4.743667996525765,0.09558477983232905,0.08390843430848191,0.23638154587443633,0.3191493750166757,-0.42843076690505344,-0.41478635505232225,1.572919682838865,1.8878838800436308,2.6720935135389223,3.2210786247721996,3.485404897541609,3.8243179351642285,0.3727239936752993,0.3910169419316779,0.8571134955621699,0.9317478815233534,1.0,1.0,1.0
