outer_fold,held_growth_run_id,held_source_split,fit_growth_count,fit_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6022,train,26,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,16.579787015914917
1,6028,train,26,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.070286750793457
2,6029,test,26,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.481454133987427
3,6033,train,26,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.206058979034424
4,6047,val,26,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.437083959579468
5,6048,train,26,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.309677839279175
6,6056,test,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,14.946533203125
7,6057,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.259988069534302
8,6062,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.077373027801514
9,6063,train,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",False,26,26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",26,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,15.048411846160889
