cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction,source
0,6022,M21c_strong_growth_layer,1.5716065184478716,2.104276473655852,4.67824697046947,7.230646592150729,7.407407407407407,7.407407407407407,0.1147792339324951,1.1418710025962833,0.341337940346325,2.1910133173369406,1.9459101490553132,2.8262445901343254,2.4849066497880004,3.1073040492110957,2.833213344056216,3.1567740231385475,3.8918202981106265,3.379917574452757,4.5217885770490405,3.3561742413197635,3.912023005428146,0.8750393987968732,0.875,0.7959237568790463,0.8332163932399214,1.420926868915558,1.4820700883865356,1.3763470649719238,1.491126298904419,1.30027174949646,1.3911908864974976,3.398970206487465,2.6390573296152584,3.5524827241349213,4.343805421853684,0.4939231276512146,0.5511141419410706,0.2086633592844009,0.2186577022075653,0.07745361328125,0.2662353515625,m21
1,6028,M21c_strong_growth_layer,1.13594936164754,1.3388229928572024,3.4217766247656294,2.3343683930115557,25.925925925925927,70.37037037037037,0.2194876670837402,0.2954424280657743,0.0408219945202548,2.5529727369502906,2.3978952727983707,3.1780538303479458,3.218875824868201,3.262514828921731,3.4339872044851463,4.060294355870135,4.7140245909001735,4.111276819198479,4.406719247264253,4.007291861210794,4.102643365036796,0.9059205652743748,0.8669724770642202,0.803454777194507,0.8187819961961784,1.3215637803077698,1.2051212787628174,1.3348695039749146,1.1153818368911743,1.3531983494758606,0.9653605818748474,3.090008326826286,3.7612001156935624,3.415572088305148,3.7013019741124937,0.4778601974248886,0.6298157572746277,0.1859525889158249,0.2675158679485321,0.069793701171875,0.10345458984375,m21
2,6029,M21c_strong_growth_layer,1.6343971313815058,1.8570714948740132,4.801858736477465,2.3838947757800972,11.11111111111111,70.37037037037037,0.3447169661521911,0.8051241973576988,0.390599841028993,2.3502401828962083,2.4849066497880004,3.0433873634561532,3.4339872044851463,3.0546237913821823,3.5263605246161616,3.6050398140853943,4.848116364598481,3.583132987066819,4.388257184424518,3.877240773735191,4.197201947661808,0.911566122049993,0.8620689655172413,0.7672102726049411,0.8168899108266634,1.6597353219985962,1.330017328262329,1.5867028832435608,1.2419859170913696,1.4889508485794067,1.154369592666626,3.1771850203986753,3.6375861597263857,3.624252036185305,3.58351893845611,0.518441915512085,0.6206924915313721,0.2037695199251175,0.2824911773204803,0.129119873046875,0.08056640625,m21
3,6033,M21c_strong_growth_layer,1.7246137468630307,1.894170017222792,4.950610409054681,2.4278038394743167,11.11111111111111,62.96296296296296,0.311922550201416,0.5147251848814776,0.9266003754755228,2.1242476210246797,2.6390573296152584,2.6287476860138907,3.5553480614894135,3.1345481418531307,3.5263605246161616,3.540854293052788,4.976733742420574,3.996134321635372,4.51085950651685,3.741481580838698,4.069026754237811,0.8900966183574879,0.8677156177156178,0.8035329979849104,0.7928278926368593,1.6739872694015503,1.3430805206298828,1.5504556894302368,1.2385331392288208,1.3566038608551023,1.2252105474472046,2.70805020110221,3.713572066704308,3.9874384502794378,3.5263605246161616,0.4795516282320022,0.6502653956413269,0.1887808293104171,0.2980170547962188,0.129547119140625,0.07080078125,m21
4,6047,M21c_strong_growth_layer,1.4830598295755224,1.6595429672956967,4.050624918058299,1.6959569154574234,14.814814814814817,100.0,0.2468974590301513,0.986938378397229,0.453120198010327,2.5649493574615367,2.2975599250672953,2.995732273553991,3.448852471564318,3.198464827608073,3.5614333292995415,3.688566856416977,4.619561086700818,3.5819733421712736,4.568911720568503,3.4637789531391583,3.959132343047637,0.8964627964627965,0.8882567368032483,0.7705072261006165,0.8193906873265215,1.4143120646476746,1.2353611588478088,1.3748382925987244,1.127940833568573,1.320826292037964,1.0942679047584534,3.1345481418531307,3.7494348669884654,3.4533773893242765,3.604115086616335,0.48752361536026,0.6803716719150543,0.1967211291193962,0.3077315837144851,0.080841064453125,0.091400146484375,m21
5,6048,M21c_strong_growth_layer,1.5308807433334786,1.7133580902417624,5.008205804233034,2.324291730569547,11.11111111111111,70.37037037037037,0.3110601305961609,0.1911685980984554,0.6742394550615365,2.1972245773362196,2.5619819897016294,2.772588722239781,3.4468281773013176,3.1567740231385475,3.4578617243156566,3.728660365532029,4.488573242404236,4.034358096357391,4.225526694455846,3.8176519431297073,4.118210263632696,0.913642835855492,0.8901665276039494,0.7953285145378627,0.8201878635727755,1.6884267926216123,1.348897635936737,1.604021430015564,1.292961299419403,1.3577817678451538,1.222836971282959,2.9907071056272403,3.7461015213093702,3.984073177415024,3.475407384221292,0.4932908564805984,0.6227208375930786,0.1858997344970703,0.2956933677196502,0.14593505859375,0.07244873046875,m21
6,6056,M21c_strong_growth_layer,1.6938693532522855,1.9724170554635625,4.836484742700205,2.038723547545781,11.11111111111111,85.18518518518519,0.4028401970863342,0.504978762967375,0.5978022773277099,2.2975599250672953,2.3502401828962083,2.943052015725078,3.540854293052788,3.020127355638707,3.676220550121791,3.293775007412398,4.584133797777137,3.8322906181026326,4.337269381070008,3.937749646222604,3.886692048027032,0.9111842105263156,0.8622497294372294,0.8111767019158674,0.8158927448970099,1.6417792439460754,1.2984737753868103,1.6262856721878052,1.223445475101471,1.4218199849128723,1.2222270965576172,2.967447097809794,3.951058773138224,3.657941752254892,3.41759229307365,0.4876821041107178,0.6727236807346344,0.1908639147877693,0.3298550099134445,0.13482666015625,0.068328857421875,m21
7,6057,M21c_strong_growth_layer,1.2676630971056615,1.4422449859794213,3.587739850288639,2.31409072764142,22.22222222222222,74.07407407407408,0.3044884204864502,0.5479846408273783,0.1831221974774415,2.596478425445105,2.302585092994046,3.218075184184714,3.4011973816621555,3.4923581600591325,3.58351893845611,4.4303914479031565,5.231108616854587,4.196947487535872,4.74493212836325,3.7647032289185063,3.9219733362813143,0.8989825371626498,0.8657296650717703,0.7837879814585561,0.8312899444812171,1.404209852218628,1.2468736171722412,1.4669986963272097,1.1625102758407593,1.4583696722984314,1.11772620677948,3.06561324474157,3.6375861597263857,3.498569420058411,3.713572066704308,0.5137339532375336,0.638017475605011,0.2158059924840927,0.2803309559822082,0.07391357421875,0.09112548828125,m21
8,6062,M21c_strong_growth_layer,1.785863523521125,2.0826934119394944,3.4181207661688857,2.7952723522433525,25.925925925925927,48.148148148148145,0.2908768057823181,0.3197046620514614,0.6273204516597843,2.5249280036247685,2.799210979499187,3.061246404757193,3.688566856416977,3.236945348176137,3.9112223647446593,4.117083465250325,4.544538142241572,3.980510732941685,4.300215394993146,3.713274536198652,3.676220550121791,0.9188760469795516,0.8787944165062809,0.767976163851226,0.8141217596533903,1.3357677459716797,1.142972469329834,1.3405227065086365,1.0496459007263184,1.3535956144332886,1.0124452710151672,3.218875824868201,4.158394563535758,3.8916120081680186,3.295836866004329,0.4665930867195129,0.7587103843688965,0.1775913685560226,0.3760205209255218,0.071075439453125,0.07135009765625,m21
9,6063,M21c_strong_growth_layer,1.2523813975358218,1.495058696752445,3.155753771456333,2.760950526222978,40.74074074074074,55.55555555555556,0.2441813945770263,0.3235103941163171,0.1057529236169996,2.1242476210246797,2.1972245773362196,3.091042453358316,3.1967953769753157,3.1073040492110957,3.329646959841819,4.016667007940031,5.129206733907794,4.2665332702862635,4.590043664402581,4.011448434800728,4.150760827470364,0.8996753246753246,0.8889213818473769,0.7936641573847445,0.8428002163606365,1.3220528960227966,1.2177042961120603,1.348144292831421,1.1039628982543943,1.3916053771972656,1.0288426876068115,2.984353779992683,3.713572066704308,3.917591877633374,3.7612001156935624,0.4695049971342087,0.6828520596027374,0.1873498857021331,0.275274246931076,0.080108642578125,0.113189697265625,m21
10,6070,M21c_strong_growth_layer,1.9615918335665716,2.411893109410226,6.320689416118327,3.8763151071997526,11.11111111111111,18.51851851851852,0.4704725742340088,0.3068526269598997,0.9099651730973756,2.0794415416798357,2.5649493574615367,2.6735537653587342,3.58351893845611,3.039966597547795,3.7612001156935624,3.9300925287360826,3.9219733362813143,4.258096345541327,3.951243718581427,3.7012257604091223,3.5115454388310208,0.8948746726524504,0.8414327607875995,0.8286051694398482,0.8333069209571575,1.7057875990867617,1.246923804283142,1.611134052276611,1.1406614780426023,1.4661419987678528,1.0861395597457886,3.020127355638707,3.871201010907891,3.525927811477947,3.49650756146648,0.4901856929063797,0.6992306709289551,0.1933717802166938,0.3946378827095032,0.148681640625,0.072509765625,m21
11,6072,M21c_strong_growth_layer,1.0920792643889146,1.3614899636800255,4.7453749232476765,2.941606039639898,11.11111111111111,40.74074074074074,0.0078434944152832,0.400180632433547,0.4844029250319126,2.4814223151299535,2.833213344056216,3.2291691416723953,3.713572066704308,3.5972184255501674,3.7612001156935624,2.9444389791664403,4.330733340286331,3.694163929788554,4.0943445622221,3.3749655968942847,3.8607297110405954,0.8650556194859993,0.8620689655172413,0.8161776109525359,0.8272724472112294,1.189795970916748,1.2613524198532104,1.1871970891952517,1.195040583610535,1.175216555595398,1.1319019794464111,3.610917912644224,4.04305126783455,3.2283848277860816,3.5263605246161616,0.5410695374011993,0.7436349987983704,0.273983970284462,0.404354989528656,0.046875,0.07427978515625,m21
12,6078,M21c_strong_growth_layer,1.4767727346467308,1.733943787700961,3.2506804836062213,2.441445025011497,33.333333333333336,59.25925925925926,0.2062855958938598,0.0077583258556908,0.8602856035888338,2.381086967398878,2.8314802400679726,2.9174053685313024,3.777690972120136,3.1967953769753157,3.881510654509259,3.772562722036542,4.282419922441795,4.017234498880561,4.024992824736252,3.694627536683149,3.5964671106078994,0.8898047296634285,0.8647179219379074,0.8035329979849104,0.8174364249326089,1.4617374539375303,1.2785679697990415,1.418299913406372,1.2120143175125122,1.3264746069908142,1.1767592430114746,3.113268334643733,4.007333185232471,3.8968449454206966,3.42506308307275,0.4806971400976181,0.720882385969162,0.1998057961463928,0.3837521523237228,0.08270263671875,0.05621337890625,m21
13,6080,M21c_strong_growth_layer,1.3761044305798866,1.606257404204659,3.6807387259683098,3.0754470424016898,22.22222222222222,37.03703703703704,0.2900842428207397,0.4383977356161193,0.4385754117684421,2.3978952727983707,2.5619819897016294,2.9907071056272403,3.4292825173956825,3.198464827608073,3.6622449896742664,3.845143010338384,5.330625688091023,4.248086912096081,4.6864846477122,4.161561443793867,3.810352543419131,0.8662062798092209,0.8702433777060643,0.8144531681821603,0.8248144362813488,1.3222726583480835,1.1419971585273745,1.334678590297699,1.0445943474769592,1.317178189754486,1.0052145421504974,3.198464827608073,3.848106319673203,3.6697688477038377,3.802696182407467,0.4736299812793731,0.690293937921524,0.1851872280240059,0.2735916078090668,0.06903076171875,0.085479736328125,m21
14,6082,M21c_strong_growth_layer,1.042835551122341,1.1748802329708938,2.9369860706101374,3.742761087790996,40.74074074074074,22.22222222222222,0.1376446485519409,0.7066832217091497,0.4909351887600683,2.4414009612931853,2.70805020110221,2.943052015725078,3.4339872044851463,3.14578456977916,3.6375861597263857,4.205916337879206,4.400603020246817,3.836611560560854,4.543294782270004,3.8393944990995768,3.871201010907891,0.9168504901960784,0.8888888888888888,0.793905471179839,0.7516060590292841,1.384766936302185,1.312340497970581,1.373493194580078,1.2358485460281372,1.3667110204696655,1.1538513898849487,3.2384861814448413,3.6635616461296463,3.762819987520768,3.4339872044851463,0.4857074171304703,0.5832875967025757,0.2016621083021164,0.2570411264896393,0.072998046875,0.0675048828125,m21
15,6084,M21c_strong_growth_layer,1.6160249270585747,1.7911838615063018,3.530828969618781,3.289944568398289,25.925925925925927,29.62962962962963,0.1157761812210083,0.368154178716686,0.7706659794826889,2.302585092994046,3.198464827608073,3.090008326826286,3.860674306308975,3.1567740231385475,3.9207464622300066,3.564648774464686,4.103018881389406,3.5776981509483674,3.9458523296650534,3.8940021197545134,3.57652581746874,0.9005151411657559,0.9206699346405228,0.8144531681821603,0.7745965550844633,1.2983907461166382,1.2550053000450134,1.2949032187461853,1.179127037525177,1.378492534160614,1.1377792954444883,3.218075184184714,3.998158615898373,3.869244061247323,3.1675271257490296,0.4674964845180511,0.6884288787841797,0.1826174482703209,0.3429757207632065,0.068267822265625,0.050262451171875,m21
