outer_fold,held_growth_run_id,held_source_split,outer_fit_growth_count,outer_fit_growth_run_ids,fit_growth_count,fit_growth_run_ids,morphology_fit_growth_count,morphology_fit_growth_run_ids,morphology_excluded_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6028,train,25,"['6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,18.03646183013916
1,6029,test,25,"['6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.97711706161499
2,6033,train,25,"['6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.677615880966187
3,6047,val,25,"['6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.542468070983887
4,6048,train,25,"['6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.658894062042236
5,6056,test,25,"['6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.7372727394104
6,6057,train,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.57387089729309
7,6062,train,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.146193981170654
8,6063,train,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.650840044021606
9,6070,train,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",[],False,25,25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",25,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101', 'N6342', 'N6358', 'N6382', 'N6389', 'N6390']",1.0,3.0,17.678925275802612
