subset,source,growth_count,mean_dark_fraction,mean_largest_dark_component_fraction,mean_display_median,mean_display_mean,mean_height_skewness
all26,real,26,0.04354579632098858,0.0045689802903395435,0.5478518968848777,0.5369912792692412,-0.2901800622497068
all26,m22_frozen,26,0.06745089017427884,0.014594444861778846,0.4970476752582291,0.5011862073298903,0.01057899792574376
all26,m23,26,0.05692232572115385,0.011014498197115384,0.527536158098213,0.5232624698131128,-0.1385082607210208
low_predicted_Sq_le_3p3_nm,real,19,0.03950741416529605,0.004506161338404605,0.5342617295027804,0.5272425459237857,-0.21963665563385776
low_predicted_Sq_le_3p3_nm,m22_frozen,19,0.05621337890625,0.010767886513157895,0.4841799517892003,0.4919646266895675,0.08517685747876706
low_predicted_Sq_le_3p3_nm,m23,19,0.0413818359375,0.005795127467105263,0.5287622417427692,0.5243312677864781,-0.1368048719338562
user_low_Sq_focus,real,7,0.04171534946986607,0.004649571010044643,0.5216003400156962,0.518254317815279,-0.14903811564462552
user_low_Sq_focus,m22_frozen,7,0.05858503069196429,0.012529645647321428,0.4890037260556864,0.4936026812101661,0.03414523145343545
user_low_Sq_focus,m23,7,0.04136439732142857,0.005562918526785714,0.5288192879096235,0.5243673216696569,-0.13737287087002784
intermediate_true_Sq_3p5_to_6p0_nm,real,5,0.03236083984375,0.002695465087890625,0.6024243661419957,0.5803216337069428,-0.639607314558396
intermediate_true_Sq_3p5_to_6p0_nm,m22_frozen,5,0.034326171875,0.0034912109375,0.5543405678135309,0.5501064770256767,-0.19583042766842476
intermediate_true_Sq_3p5_to_6p0_nm,m23,5,0.0371826171875,0.00523681640625,0.5503930587872443,0.5442131471554456,-0.20935076274617326
frozen_rough_predicted_Sq_ge_3p8_nm,real,6,0.0578009287516276,0.0050207773844401045,0.5930000740877136,0.5683038547085685,-0.5396560512882534
frozen_rough_predicted_Sq_ge_3p8_nm,m22_frozen,6,0.10874430338541667,0.028574625651041668,0.523382657034464,0.5196577446932759,-0.1435235692762685
frozen_rough_predicted_Sq_ge_3p8_nm,m23,6,0.10874430338541667,0.028574625651041668,0.523382657034464,0.5196577446932759,-0.1435235692762685
