cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6022,M10_dense_island_spectral_pareto,1.6493401527404783,2.4835032559415136,0.8341631032010353,1.13164222240448,1.1558905839920044,1.0623674392700195,1.0880327665033174,1.048640251159668,1.3468886613845825,0.010380916129873644,32.56201266925009,0.05752632545461589,0.25907480478286793,0.250024193018211,1.6493385360079564,1.616732521858566e-06,0.5248901256972035,0.0006983190848959264,0.000688356790154133,9.962294741420402e-06,0.10259929012524971,7.874015748031496,0.14285714285714285,0.33333333333333326,0.9267782878566498,2.0102689577123782,0.2189731161722114,0.03487838738402593,0.5248901256972035,7.874015748031496,0.9896190838701263,6.837391733086309,1.0486845970153809,0.04037619216459279,False,0.27803732454776764,0.24846458435058594,0.11902195346864516,0.33718492090702057,0.3801034092903137,0.11291266359179919,0.364912673830986,0.49094733595848083,0.2567172747387176,0.9885004460811615,0.8516755104064941,0.16065383353498391,1.062343716621399,7.265835285186768,0.8537891825338714,5.9034718927414905e-05,8.08952885750083e-05,0.2702329150766757,4.744975588321687,4.5777729749679565,0.03652488104325455,-0.03130325192254148,-0.9570237980236759,0.9672910412602226,3.0979345482794542,5.000395656952083,0.3804621152383461,1.1190219534686452,True
0,6022,M12a_edge_preserving_terrace,1.6493401527404783,2.4835032559415136,0.8341631032010353,1.6464283466339111,1.1576059460639954,1.0623674392700195,1.0896474263738887,1.1350791454315186,1.462384819984436,0.006083125729711508,31.375691184298386,0.1071183983457793,0.05483655929565323,0.39345421565664096,1.649338458327732,1.69441274633364e-06,0.8566038087381456,0.001006573625652929,0.0009649555400728744,4.1618085579927456e-05,0.25670752265602736,15.748031496062993,0.2857142857142857,0.20833333333333326,1.2712851486313135,2.43267490697951,0.3822658634611539,0.06494621359773012,0.8566038087381456,15.748031496062993,0.9939168742702885,6.760279517855895,1.025343418121338,0.0418541259110558,False,0.23980379104614258,0.24846458435058594,0.03485725471531547,0.31186486780643463,0.3801034092903137,0.17952625474022033,0.27623628079891205,0.49094733595848083,0.43734029993336554,0.976930171251297,0.8516755104064941,0.14706852470728007,1.1480732560157776,7.265835285186768,0.8419901895716775,2.0468120252474348e-05,8.08952885750083e-05,0.7469800700012862,4.316540228128433,4.5777729749679565,0.057065465733663175,0.14077508644226494,-0.9570237980236759,1.1470967459043084,2.5080025498042007,5.000395656952083,0.49843917924428477,0.9651427452846846,True
1,6028,M10_dense_island_spectral_pareto,6.072564601898193,4.102532573332955,1.970032028565238,0.5996233224868774,1.0782655477523804,1.1072558164596558,0.9738179124676274,1.2263517379760742,1.5087376832962036,-0.004502175561646621,35.84266699594782,0.13408720011283037,2.8977433586120647,0.552523273221615,6.072558864499228,5.7373989656994695e-06,0.7090170209545216,0.0010192024800723676,0.0010019417859894201,1.7260694082932256e-05,0.2808150452219502,23.62204724409449,0.5,0.0,0.16301319162347913,0.2270472554452163,0.1480297861461128,0.022080819689466846,0.7090170209545216,23.62204724409449,1.0045021755616466,7.628893190954003,1.062474012374878,0.025656643704788398,False,0.27077722549438477,0.3109492063522339,0.12919145647325922,0.3255157768726349,0.4175356328487396,0.22038803095265574,0.3406497687101364,0.467657208442688,0.27158234159479766,0.8764350116252899,1.0470943450927734,0.16298372182724657,0.8771011233329773,5.333611965179443,0.8355521307025814,4.557674647715993e-05,7.500562889716899e-05,0.39235565187188004,4.466797531843185,4.928185555934906,0.09362229137985308,-0.0373572935742007,-0.2918466770149447,0.8719968513731348,3.0094546853129818,3.57313104792202,0.15775418115068812,0.8708085435267408,True
1,6028,M12a_edge_preserving_terrace,6.072564601898193,4.102532573332955,1.970032028565238,0.9341953992843628,1.0954375267028809,1.1072558164596558,0.9893265046964822,1.172217607498169,1.4746659994125366,-0.0028387932972640433,34.79340902984085,0.277314139842888,3.708264989852907,1.092690272338766,6.072558268796914,6.3331012789547e-06,0.9605439308854268,0.0013863688037901722,0.0013352603744057783,5.110842938455798e-05,0.11103542474851036,23.62204724409449,0.5,0.0,0.6262254890059158,1.0361024504057519,0.2855123057535715,0.04566672598695276,0.9605439308854268,23.62204724409449,1.002838793297264,7.514955710426561,1.065050482749939,0.04562195170735564,False,0.2399999052286148,0.3109492063522339,0.2281700666032569,0.3142017126083374,0.4175356328487396,0.2474852733774627,0.2720336765050888,0.467657208442688,0.41830539208201495,0.8482279181480408,1.0470943450927734,0.18992216687705724,0.8635056614875793,5.333611965179443,0.8381011466291535,2.0566761416137723e-05,7.500562889716899e-05,0.7257970939176541,4.1518791854381565,4.928185555934906,0.15752377050045546,0.2127138103698762,-0.2918466770149447,1.728854659390155,2.2976164346130474,3.57313104792202,0.3569739246061958,0.7718299333967431,True
2,6029,M10_dense_island_spectral_pareto,2.561024904251098,2.2084807300658773,0.3525441741852209,0.27507126331329346,1.1253113150596619,1.0970065593719482,1.0258018107967546,1.1383196115493774,1.437475323677063,0.008368275116780517,35.59981336033175,0.005934133101421768,0.8372065305709828,0.1310130289096063,2.5610222932216855,2.6110294126802103e-06,0.8275938089241768,0.0017861787885673497,0.0017310436021124127,5.513518645498396e-05,0.07526492856520761,23.62204724409449,0.6,0.125,0.10724197262420178,0.16391452956449637,0.10719047527760282,0.0023170929980278476,0.8275938089241768,23.62204724409449,0.9916317248832195,7.633482558523566,1.0528202056884766,0.036668486339980426,False,0.2632584720849991,0.33592918515205383,0.2163274769775104,0.3262182027101517,0.42805883288383484,0.23791269412099791,0.31016531586647034,0.510769784450531,0.3927492868433167,0.9982303082942963,0.9801638126373291,0.018432118615311455,1.0644502639770508,4.758741855621338,0.7763168719228482,2.867597135585587e-05,8.534350720412351e-05,0.663993521062252,4.681295796632767,4.748620142936707,0.01417766514849171,-0.0018467131892241084,0.02843638546901522,1.0649419101185107,3.0868796851516516,3.2065898112639726,0.03733253492286677,0.7836725230224896,True
2,6029,M12a_edge_preserving_terrace,2.561024904251098,2.2084807300658773,0.3525441741852209,0.6285278797149658,1.1516411304473877,1.0970065593719482,1.0498033221485188,1.1485590934753418,1.4237751960754395,-0.003422681384595739,35.42910143044048,0.09949203792208161,1.9301012992858873,0.28643196493402523,2.561022347972731,2.556278367205067e-06,1.037314548523491,0.0018932888348334176,0.0018291771755068044,6.411165932672296e-05,0.2454564706560154,23.62204724409449,0.6,0.1428571428571428,0.1965256643595399,0.7705486494608382,0.214090962864991,0.038848524215345126,1.037314548523491,23.62204724409449,1.0034226813845957,7.679470563213353,1.0666698217391968,0.03701507523692888,False,0.2387259528040886,0.33592918515205383,0.2893563186656959,0.32026685774326324,0.42805883288383484,0.25181579460556025,0.27025675773620605,0.510769784450531,0.4708834273998036,0.9764502942562103,0.9801638126373291,0.00378867117234904,1.1064449548721313,4.758741855621338,0.7674921253471385,1.9796631840165347e-05,8.534350720412351e-05,0.7680358765568889,4.186627007126808,4.748620142936707,0.11834872423852019,0.22194884547453286,0.02843638546901522,6.8051004659636565,2.434748309742356,3.2065898112639726,0.24070478201181966,0.7106436813343041,True
3,6033,M10_dense_island_spectral_pareto,2.5392303466796875,3.6667240949145854,1.127493748234898,0.30881959199905396,1.1436303853988647,0.8999233543872833,1.2708086525629845,1.1745352745056152,1.4846007823944092,-0.008596712434351476,34.99942509959189,0.022012679831415083,0.2625850296020502,0.08227984140544109,2.5392279311881714,2.4154915161389567e-06,1.0348265415892044,0.0019828446209322337,0.0019197195209125298,6.312510001945434e-05,0.07228602098380676,31.496062992125985,0.6666666666666666,0.10000000000000009,0.16138048114413958,0.04139158859812975,0.08889212027192071,0.008669036023157828,1.0348265415892044,31.496062992125985,1.0085967124343516,7.591193138346029,1.0732364654541016,0.03457646936867565,False,0.24160077422857285,0.33288364112377167,0.2742185425124521,0.29803697764873505,0.4170430302619934,0.28535677131085674,0.2777208685874939,0.5166290402412415,0.46243658997989867,0.9515109062194824,1.0336682796478271,0.079481372357035,0.9741328358650208,5.55627965927124,0.8246789406577876,2.028873823768296e-05,7.675429832060583e-05,0.7356664228375058,4.6179181903600695,4.667455363273621,0.01061331476318777,0.17664684631697725,0.2926978699155083,0.39648742108041624,3.0581047982294165,3.05547718716744,0.0008599674947704056,0.725781457487548,True
3,6033,M12a_edge_preserving_terrace,2.5392303466796875,3.6667240949145854,1.127493748234898,0.5949617028236389,1.1509782075881958,0.8999233543872833,1.2789735947811292,1.1756230592727661,1.4627829790115356,-0.002318433998046547,35.582127672449815,0.07947313191279903,1.3658288812637345,0.17527489741449642,2.5392279247167733,2.4219629142230303e-06,1.1520306026570437,0.0020070305487603912,0.0019437684023773899,6.326214638285724e-05,0.11672799779297893,23.62204724409449,0.5,0.0,0.004757753746583715,0.6460363999260621,0.12175635447459565,0.03129811794257786,1.1520306026570437,23.62204724409449,1.0023184339980467,7.7055300118580705,1.074236273765564,0.0395339156347661,False,0.22899434715509415,0.33288364112377167,0.3120889137656655,0.3042465001344681,0.4170430302619934,0.2704673665368887,0.2596755772829056,0.5166290402412415,0.4973655039568637,0.9316164553165436,1.0336682796478271,0.09872782820234441,1.0811990201473236,5.55627965927124,0.8054095390351296,1.7512352771255924e-05,7.675429832060583e-05,0.7718388005046165,4.127730769515038,4.667455363273621,0.11563572691138405,0.3171135981626109,0.2926978699155083,0.08341614598750109,2.4488618117262715,3.05547718716744,0.19853376028754688,0.6879110862343345,True
4,6047,M10_dense_island_spectral_pareto,3.348536252975464,3.4244491590052997,0.0759129060298358,0.7676750421524048,1.0515326857566833,1.102499008178711,0.9537720015674008,1.1024926900863647,1.398960828781128,0.009945134508807065,39.54278855061992,0.09410294410199294,1.001702823638917,0.1696016583730593,3.3485329765449277,3.276430536214292e-06,1.1049991111441935,0.004322788183618864,0.004203824523192748,0.00011896366042610297,0.1541654319535124,39.37007874015748,1.25,0.25,0.048411781051660434,0.5142374275069503,0.07099037642989825,0.028102710116779117,1.1049991111441935,39.37007874015748,0.9900548654911929,8.662211486480846,0.9616441130638123,0.052090938994821055,False,0.24947354197502136,0.39140765368938446,0.3626247733699147,0.3045101910829544,0.5027503967285156,0.3943113858000804,0.31103771924972534,0.6040414273738861,0.48507220671604534,0.9685313403606415,0.9567328691482544,0.01233204334548561,0.9493218064308167,4.3265016078948975,0.7805798096322172,3.3333896767132816e-05,0.00013667912734787374,0.7561156746172965,4.437348314523697,4.901745465993882,0.09474118040032159,-0.09922001644497969,-0.40445865330085984,0.7546844018907068,2.720833443878349,3.5980931908667824,0.2438124029736709,0.6373752266300853,False
4,6047,M12a_edge_preserving_terrace,3.348536252975464,3.4244491590052997,0.0759129060298358,1.2210323810577393,1.044580101966858,1.102499008178711,0.947465797445448,1.1131808757781982,1.3760356903076172,0.0238028246497753,39.09518101188668,0.19909822386982556,2.650406870841982,0.3883080913558379,3.348532833043142,3.4199323217798394e-06,1.632800507470862,0.004559704881748283,0.00442168675359927,0.00013801812814928855,0.5118881936560142,39.37007874015748,1.25,0.125,0.15942748736625412,0.9904565475226446,0.17063459187213842,0.05945828575099554,1.632800507470862,39.37007874015748,0.9761971753502247,8.744591260934438,1.0421009063720703,0.043956945871449216,False,0.22496569901704788,0.39140765368938446,0.4252393970926857,0.30000367760658264,0.5027503967285156,0.4032751051838869,0.24764636158943176,0.6040414273738861,0.5900175875914798,0.9725373089313507,0.9567328691482544,0.01651917718387417,1.0276607871055603,4.3265016078948975,0.7624730370536996,1.6395084179523833e-05,0.00013667912734787374,0.8800469062273474,3.986702600717545,4.901745465993882,0.18667694428943632,0.1376634771403089,-0.40445865330085984,1.3403647715701283,2.2622335918357797,3.5980931908667824,0.3712687604706518,0.5747606029073142,False
