growth_run_id,sample_id,video_id,source_video,source_size_bytes,source_mtime_ns,human_keyframe_index,machine_keyframe_index,signed_keyframe_delta,cycle_phase_residual_frames,estimated_period_frames,machine_keyframe_quality,machine_visibility_rank,machine_model_input_visibility,machine_selector_score,machine_refined_from_frame_index,selector_tracker,human_roi_x,human_roi_y,human_roi_width,human_roi_height,machine_roi_x,machine_roi_y,machine_roi_width,machine_roi_height,tracking_roi_x,tracking_roi_y,tracking_roi_width,tracking_roi_height,roi_iou,human_roi_coverage,machine_roi_coverage_by_human,machine_to_human_area_ratio,raw_data_modified,absolute_prediction_shift_nm,roi_mismatch
6022,6022,After GaSb,data/pair/6022/RHEED/After GaSb.MP4,2055039,1778867699000000000,757,747,-10,10.0,27.0,0.7290918242618777,1.0,0.72,0.9330260047281324,757,front,245,366,249,391,212,352,312,524,160,324,332,512,0.5955115971814445,1.0,0.5955115971814445,1.6792284226419745,False,2.289708343676504,0.0
6028,6028,GaSb,data/pair/6028/RHEED/GaSb.MP4,2473421,1778867696000000000,350,502,152,2.0,30.0,0.8057487810001625,1.0,0.8672413793103447,0.9347777777777778,502,front,218,308,406,665,188,320,408,660,120,264,432,664,0.844061606642137,0.9142338605133524,0.916644385026738,0.9973702729730732,False,0.324293189851391,0.08576613948664757
6029,6029,After ramping down GaSb,data/pair/6029/RHEED/After ramping down GaSb.MOV,5452260,1778867699000000000,69,223,154,13.5,33.5,0.7525237967735394,1.0,0.7564516129032258,0.9275627240143368,222,front,283,461,516,811,348,402,522,870,258,342,540,834,0.7216284736265796,0.874031007751938,0.8053926102083058,1.0852235253634617,False,1.4161447916838,0.12596899224806202
6033,6033,15 min of GaSb,data/pair/6033/RHEED/15 min of GaSb.MOV,7565045,1778867699000000000,662,363,-299,17.25,40.25,0.6731974583983286,1.0,0.7594594594594596,0.958136200716846,362,front,343,466,570,910,318,450,648,954,336,324,552,852,0.8390597096047829,1.0,0.8390597096047829,1.1918102949681897,False,0.7639196630705722,0.0
6047,6047,After rampdown to 200C,data/pair/6047/RHEED/After rampdown to 200C.MOV,2810659,1778867700000000000,30,179,149,8.5,31.5,0.8255295544703927,1.0,0.9103448275862068,0.9294612794612797,168,compact,796,160,510,791,720,114,624,858,702,36,516,792,0.7534852967545276,1.0,0.7534852967545276,1.3271659106120324,False,0.029963905476498187,0.0
6048,6048,After rampdown,data/pair/6048/RHEED/After rampdown.MOV,1611471,1778867701000000000,199,200,1,1.0,27.25,0.4818026101842263,1.0,0.756,0.9466666666666668,191,compact,745,244,477,744,660,114,546,888,702,90,384,594,0.6904531838825008,0.9664570230607966,0.7074052074052074,1.3662000405761818,False,0.4970660388413197,0.033542976939203384
6056,6056,After rampdown to 200 C,data/pair/6056/RHEED/After rampdown to 200 C.MOV,1287634,1779037204000000000,161,160,-1,1.0,34.5,0.7309908526896601,1.0,0.8954545454545454,0.9241545893719808,146,compact,684,111,599,894,594,114,648,888,774,174,336,516,0.8051398543447953,0.9253005568565058,0.8611111111111112,1.0745425821559422,False,0.02214087918273533,0.07469944314349419
6057,6057,GaSb 2 min,data/pair/6057/RHEED/GaSb 2 min.MOV,2011577,1779037204000000000,83,81,-2,2.0,39.0,0.8033857808993627,1.0,0.8621621621621621,0.9611111111111112,82,front,771,342,360,571,732,258,468,684,732,384,372,570,0.6421502474134053,1.0,0.6421502474134053,1.5572679509632223,False,0.09828635181199763,0.0
6062,6062,after rampdown to 300C,data/pair/6062/RHEED/after rampdown to 300C.MOV,1867520,1779037204000000000,128,427,299,1.0,37.5,0.8369534258827792,1.0,0.9357142857142856,0.9272222222222224,429,front,754,201,461,678,630,114,624,888,534,48,594,912,0.5640700796950797,1.0,0.5640700796950797,1.7728293628702514,False,0.9772069088932895,0.0
6063,6063,rampdown to 300C,data/pair/6063/RHEED/rampdown to 300C.MOV,4268766,1779037592000000000,186,187,1,1.0,27.0,0.7032009485037427,1.0,0.8219999999999998,0.956,189,compact,445,263,539,777,372,114,606,888,414,258,450,696,0.6995669965402349,0.9405066343841854,0.7319578241607945,1.2849191624701828,False,0.051441441815192945,0.05949336561581464
6070,6070,rampdown to 300C,data/pair/6070/RHEED/rampdown to 300C.MOV,2653753,1779037584000000000,135,588,453,13.0,27.5,0.917605579756357,1.0,0.8420000000000001,0.95328165374677,588,compact,789,220,433,707,630,114,684,888,522,24,630,972,0.50400894315368,1.0,0.50400894315368,1.9840917777030096,False,0.5165473995659551,0.0
6072,6072,rampdown to 250C,data/pair/6072/RHEED/rampdown to 250C.MOV,3684435,1779037592000000000,327,328,1,1.0,37.5,0.724066921727858,1.0,0.8785714285714284,0.9124074074074076,326,front,660,82,527,815,576,108,618,816,492,18,588,906,0.8027239908106334,0.9680981595092024,0.8245347896440129,1.1741143874925786,False,0.24976145908203295,0.031901840490797584
6078,6078,GaSb 6 min,data/pair/6078/RHEED/GaSb 6 min.MOV,2420493,1779037584000000000,364,364,0,0.0,39.25,0.7002064379636321,1.0,0.8216216216216217,0.9697530864197532,366,front,621,251,440,711,552,162,576,810,480,162,534,822,0.6705246913580247,1.0,0.6705246913580247,1.4913693901035674,False,0.9229003166990144,0.0
6080,6080,After rampdown to 200C,data/pair/6080/RHEED/After rampdown to 200C.MOV,4338420,1779037591000000000,46,201,155,3.0,39.5,0.7172732742579246,1.0,0.8621621621621621,0.9354497354497354,196,front,714,187,504,790,684,114,588,888,708,78,456,702,0.7625482625482626,1.0,0.7625482625482626,1.3113924050632912,False,0.03560472336003273,0.0
6081,6081,After rampong for GaSb,data/pair/6081/RHEED/After rampong for GaSb.MOV,938170,1779037582000000000,135,132,-3,3.0,37.75,0.5732752949807854,1.0,0.7985714285714287,0.9590277777777778,131,front,717,127,447,772,612,114,648,852,522,48,594,912,0.6250434707007477,1.0,0.6250434707007477,1.5998887227457663,False,1.098733883269838,0.0
6082,6082,After rampdown to 200C,data/pair/6082/RHEED/After rampdown to 200C.MOV,2427976,1779037584000000000,39,43,4,4.0,32.0,0.6978615241007629,1.0,0.8413793103448275,0.926358024691358,42,front,525,148,585,805,558,114,552,846,594,42,402,618,0.9003215434083601,0.9435897435897436,0.9515366430260048,0.9916483516483516,False,0.5097023950534632,0.05641025641025643
6084,6084,After ramping down to 200C,data/pair/6084/RHEED/After ramping down to 200C.MOV,2849002,1779037584000000000,241,89,-152,3.0,31.0,0.7796974577620323,1.0,0.8120689655172415,0.913422222222222,88,front,777,251,450,709,732,168,558,834,744,378,438,672,0.6855805678038215,1.0,0.6855805678038215,1.458617771509168,False,0.20811713833740741,0.0
6085,6085,ramping down to 300C,data/pair/6085/RHEED/ramping down to 300C.MOV,1870369,1779037582000000000,320,468,148,8.25,31.25,0.699073722574423,1.0,0.8189655172413793,0.9380208333333332,470,front,550,143,516,735,528,108,522,834,450,114,492,756,0.8219490592876889,0.9689922480620154,0.8441522643953803,1.1478879924062648,False,0.7133234772332497,0.03100775193798455
6090,6090,rampdown to 200C,data/pair/6090/RHEED/rampdown to 200C.MOV,1996111,1779037582000000000,79,231,152,0.5,25.25,0.70671062161386,1.0,0.8369565217391304,0.9281045751633988,230,front,564,85,626,875,618,114,654,888,612,282,498,768,0.7507283699716099,0.8834541305340028,0.8332506818745351,1.0602501141031493,False,1.6247956851929706,0.11654586946599721
6094,6094,Gasb 5 min,data/pair/6094/RHEED/Gasb 5 min.MOV,3122909,1779037591000000000,244,245,1,1.0,30.0,0.7027434261223717,1.0,0.8275862068965518,0.9787878787878788,242,front,632,68,592,866,654,114,654,858,624,30,546,840,0.7707732798596315,0.9116940265901003,0.8329590898398238,1.0945243742587851,False,0.07318211412027953,0.08830597340989965
6095,6095,Rampdown to 250C,data/pair/6095/RHEED/Rampdown to 250C.MOV,3488959,1779037592000000000,181,182,1,1.0,28.75,0.7836725676285204,1.0,0.8203703703703703,0.9700396825396826,179,front,248,404,631,906,246,408,666,906,186,342,618,954,0.9393352257723792,0.9955849889624724,0.9432644565094896,1.0554675118858954,False,0.43350324803979357,0.004415011037527616
6099,6099,ramping to 650C,data/pair/6099/RHEED/ramping to 650C.MOV,1441004,1779037582000000000,62,61,-1,1.0,31.0,0.7093010496352559,1.0,0.843103448275862,0.9758333333333332,63,front,360,481,550,783,312,456,606,834,270,390,570,876,0.8520906047439276,1.0,0.8520906047439276,1.1735841170323928,False,0.0013209008287993207,0.0
6101,6101,30 min GaSb,data/pair/6101/RHEED/30 min GaSb.MOV,2352731,1779037584000000000,206,209,3,3.0,39.25,0.6926802304186487,1.0,0.8040540540540541,0.9344444444444444,207,front,244,426,639,1026,240,402,654,1044,102,324,696,1074,0.9492725127801808,0.9941520467836256,0.9546029737424866,1.0414298657441727,False,1.6030099170420795,0.005847953216374435
