scope,metric,M16b_baseline,M17b_selected,preferred_or_reference,selected_minus_baseline
N6342,normalized PSD log distance,2.8319856074122427,0.2599274879399076,lower,-2.5720581194723353
N6342,composite morphology score,10.17259677892427,9.728994096409329,lower,-0.44360268251494084
N6342,island feature MAE (z),1.0095096434580295,0.8898073355890533,lower,-0.11970230786897618
N6342,all-feature peak-signature MAE (z),0.6765919566951838,0.689692264621699,lower; includes low-amplitude peak count,0.013100307926515176
N6342,bright area fraction above 1.5 Sq,0.067962646484375,0.0509033203125,measured=0.054016,-0.017059326171875
N6342,bright component median area (px),17.0,19.5,measured=26,2.5
N6342,height kurtosis,2.65108323097229,3.3370628356933594,measured=3.326682,0.6859796047210693
N6342,fine-detail RMS fraction,0.238869123160839,0.2933665066957474,measured=0.321725,0.05449738353490838
full27,mean normalized PSD log distance,1.4535162952792509,0.9687004668638904,lower,-0.4848158284153604
full27,mean island feature MAE (z),1.7377211316308545,1.7177500928794098,lower,-0.01997103875144468
full27,mean peak-signature MAE (z),1.4573569833013975,1.327411640300195,lower,-0.12994534300120253
full27,mean sharpness ratio,0.8102470873621545,0.8356111534358064,closer to 1,0.025364066073651936
full27,texture-gate pass fraction,0.8518518518518519,0.8148148148148148,higher,-0.03703703703703709
