review_id,sample_id,frame_idx,morphology_index,raw_spottiness,raw_streakiness,afm_Rq_median_nm,source_raw_frame_path
HR0001,6065,437,0.4036773062,25.6,37.81699075,5.606737369,reports/rheed_roughness/assets/rheed_frames/6065/frame_000437_raw.png
HR0002,6023,1019,0,0,0,10.28980427,reports/rheed_roughness/assets/rheed_frames/6023/frame_001019_raw.png
HR0003,6097,246,0.3817869694,36.2,58.61727482,9.224106822,reports/rheed_roughness/assets/rheed_frames/6097/frame_000246_raw.png
HR0004,6094,306,0.3622895178,13.6,23.93903806,4.092366337,reports/rheed_roughness/assets/rheed_frames/6094/frame_000306_raw.png
HR0005,6080,380,0,0,0,4.401600455,reports/rheed_roughness/assets/rheed_frames/6080/frame_000380_raw.png
HR0006,6043,262,0.3930110334,22.2,34.28696374,7.371982719,reports/rheed_roughness/assets/rheed_frames/6043/frame_000262_raw.png
HR0007,6043,275,0.365476892,25.6,44.44546815,7.371982719,reports/rheed_roughness/assets/rheed_frames/6043/frame_000275_raw.png
HR0008,6082,374,0,0,0,1.863613281,reports/rheed_roughness/assets/rheed_frames/6082/frame_000374_raw.png
HR0009,6081,182,0.3381114265,23.2,45.41643287,3.181476807,reports/rheed_roughness/assets/rheed_frames/6081/frame_000182_raw.png
HR0010,6078,395,0.3856893356,30.2,48.10136125,2.114030503,reports/rheed_roughness/assets/rheed_frames/6078/frame_000395_raw.png
HR0011,6084,415,0.3821090363,30.2,48.83503222,2.012902511,reports/rheed_roughness/assets/rheed_frames/6084/frame_000415_raw.png
HR0012,6072,467,0.3672131495,23.6,40.66785105,1.468175651,reports/rheed_roughness/assets/rheed_frames/6072/frame_000467_raw.png
HR0013,6063,773,0.4023225434,12.6,18.71815555,5.867181941,reports/rheed_roughness/assets/rheed_frames/6063/frame_000773_raw.png
HR0014,6095,450,0.3670189824,29,50.01498665,9.867135055,reports/rheed_roughness/assets/rheed_frames/6095/frame_000450_raw.png
HR0015,6054,496,0,0,0,,reports/rheed_roughness/assets/rheed_frames/6054/frame_000496_raw.png
HR0016,6102,418,0.360598909,28.2,50.00323161,,reports/rheed_roughness/assets/rheed_frames/6102/frame_000418_raw.png
HR0017,6088,272,0.4455648359,23.8,29.61534627,1.83231963,reports/rheed_roughness/assets/rheed_frames/6088/frame_000272_raw.png
HR0018,6081,173,0.3385506141,24.65,48.16038335,3.181476807,reports/rheed_roughness/assets/rheed_frames/6081/frame_000173_raw.png
HR0019,6097,259,0.411060291,38.6,55.3034999,9.224106822,reports/rheed_roughness/assets/rheed_frames/6097/frame_000259_raw.png
HR0020,6080,362,0.3509013116,18.4,34.03639561,4.401600455,reports/rheed_roughness/assets/rheed_frames/6080/frame_000362_raw.png
HR0021,6068,655,0.4474391987,20.6,25.43977492,10.62212219,reports/rheed_roughness/assets/rheed_frames/6068/frame_000655_raw.png
HR0022,6087,348,0.3668940051,21.4,36.9274725,7.358170846,reports/rheed_roughness/assets/rheed_frames/6087/frame_000348_raw.png
HR0023,6048,333,0.3773994122,25.2,41.57275899,2.547742861,reports/rheed_roughness/assets/rheed_frames/6048/frame_000333_raw.png
HR0024,6085,496,0,0,0,3.125662312,reports/rheed_roughness/assets/rheed_frames/6085/frame_000496_raw.png
HR0025,6090,257,0.4149287971,29.8,42.01955122,4.685108055,reports/rheed_roughness/assets/rheed_frames/6090/frame_000257_raw.png
HR0026,6033,684,0.3728921231,22.2,37.33464453,2.539230308,reports/rheed_roughness/assets/rheed_frames/6033/frame_000684_raw.png
HR0027,6067,691,0.4440755819,21.2,26.53962105,1.277916396,reports/rheed_roughness/assets/rheed_frames/6067/frame_000691_raw.png
HR0028,6047,492,0.3834740544,35.6,57.23548545,3.34853612,reports/rheed_roughness/assets/rheed_frames/6047/frame_000492_raw.png
HR0029,6100,328,0.3569973761,17.8,32.06031043,,reports/rheed_roughness/assets/rheed_frames/6100/frame_000328_raw.png
HR0030,6095,475,0.3706912917,32.6,55.34379778,9.867135055,reports/rheed_roughness/assets/rheed_frames/6095/frame_000475_raw.png
HR0031,6029,539,0.3848312378,37.6,60.10516606,2.561024917,reports/rheed_roughness/assets/rheed_frames/6029/frame_000539_raw.png
HR0032,6085,472,0.3420905832,22,42.31045191,3.125662312,reports/rheed_roughness/assets/rheed_frames/6085/frame_000472_raw.png
HR0033,6029,486,0.3593118006,30.4,54.20618312,2.561024917,reports/rheed_roughness/assets/rheed_frames/6029/frame_000486_raw.png
HR0034,6101,345,0.3435659722,27.2,51.96965648,1.417439172,reports/rheed_roughness/assets/rheed_frames/6101/frame_000345_raw.png
HR0035,6063,812,0,0,0,5.867181941,reports/rheed_roughness/assets/rheed_frames/6063/frame_000812_raw.png
HR0036,6078,376,0.3619715828,20,35.25295616,2.114030503,reports/rheed_roughness/assets/rheed_frames/6078/frame_000376_raw.png
HR0037,6067,730,0.3896825373,13.4,20.98696558,1.277916396,reports/rheed_roughness/assets/rheed_frames/6067/frame_000730_raw.png
HR0038,6068,620,0.3912536175,22.2,34.54068943,10.62212219,reports/rheed_roughness/assets/rheed_frames/6068/frame_000620_raw.png
HR0039,6099,143,0.3405150293,6.4,12.3950588,10.32143729,reports/rheed_roughness/assets/rheed_frames/6099/frame_000143_raw.png
HR0040,6022,729,0.3644881373,35.6,62.07121711,1.649340225,reports/rheed_roughness/assets/rheed_frames/6022/frame_000729_raw.png
HR0041,6070,729,0.3485320535,21.8,40.74804911,3.047229531,reports/rheed_roughness/assets/rheed_frames/6070/frame_000729_raw.png
HR0042,6055,361,0.3541763256,15.4,28.0811671,,reports/rheed_roughness/assets/rheed_frames/6055/frame_000361_raw.png
HR0043,6094,340,0.4266967,16,21.49736053,4.092366337,reports/rheed_roughness/assets/rheed_frames/6094/frame_000340_raw.png
HR0044,6099,129,0.4283300482,7.8,10.41025639,10.32143729,reports/rheed_roughness/assets/rheed_frames/6099/frame_000129_raw.png
HR0045,6084,436,0.3432696778,27.4,52.42062433,2.012902511,reports/rheed_roughness/assets/rheed_frames/6084/frame_000436_raw.png
HR0046,6070,766,0.3356240243,15.8,31.27648695,3.047229531,reports/rheed_roughness/assets/rheed_frames/6070/frame_000766_raw.png
HR0047,6028,666,0.3865849889,27.4,43.47704071,6.072564398,reports/rheed_roughness/assets/rheed_frames/6028/frame_000666_raw.png
HR0048,6028,700,0.3928272198,32,49.46075013,6.072564398,reports/rheed_roughness/assets/rheed_frames/6028/frame_000700_raw.png
HR0049,6029,513,0.3582160398,26.4,47.29854239,2.561024917,reports/rheed_roughness/assets/rheed_frames/6029/frame_000513_raw.png
HR0050,6080,342,0.3752186261,14.6,24.3106483,4.401600455,reports/rheed_roughness/assets/rheed_frames/6080/frame_000342_raw.png
HR0051,6066,634,0.1832994011,3.6,16.03999869,4.99332107,reports/rheed_roughness/assets/rheed_frames/6066/frame_000634_raw.png
HR0052,6099,136,0.3681740936,5,8.580531829,10.32143729,reports/rheed_roughness/assets/rheed_frames/6099/frame_000136_raw.png
HR0053,6101,365,0.384017966,30.6,49.08377186,1.417439172,reports/rheed_roughness/assets/rheed_frames/6101/frame_000365_raw.png
HR0054,6090,270,0.3546657624,35.4,64.41228456,4.685108055,reports/rheed_roughness/assets/rheed_frames/6090/frame_000270_raw.png
HR0055,6054,524,0,0,0,,reports/rheed_roughness/assets/rheed_frames/6054/frame_000524_raw.png
HR0056,6097,234,0.3699385623,21.8,37.12870389,9.224106822,reports/rheed_roughness/assets/rheed_frames/6097/frame_000234_raw.png
HR0057,6033,718,0.3949494696,23.2,35.54169173,2.539230308,reports/rheed_roughness/assets/rheed_frames/6033/frame_000718_raw.png
