variant,exposure_invariance_weight,descriptor_mse
train_fold_mean_baseline,0.0,1.0856924057006836
stable_features_ridge,0.0,20.8001766204834
stable_features_mlp,0.0,1.0005608797073364
consensus_maps_only_cnn,0.05,1.0303328037261963
stable_features_plus_consensus,0.05,1.034764051437378
frame_bag_only,0.0,1.0496190786361694
frame_bag_plus_consensus,0.05,1.0199254751205444
full_fusion,0.0,1.0414944887161255
raw_240_features_diagnostic,0.0,20.8001708984375
shuffled_label_negative_control,0.0,5.666114807128906
brightness_only_forbidden_diagnostic,0.0,1.6972459554672241
