prior,row_id,sample_id,group_id,candidate_index,calibration_mode,scale_nm_per_unit,offset_nm,scale_clamped,unclamped_scale_nm_per_unit,score,roughness_error,texture_error,realness_penalty,visual_richness_bonus,duplicate_penalty,normalized_std,calibrated_std_nm,nonconstant,requested_rq,uncalibrated_rq,calibrated_rq,requested_ra,uncalibrated_ra,calibrated_ra,requested_robust_range,uncalibrated_robust_range,calibrated_robust_range,requested_mean_abs_gradient,uncalibrated_mean_abs_gradient,calibrated_mean_abs_gradient,requested_gradient_std,uncalibrated_gradient_std,calibrated_gradient_std,requested_gradient_anisotropy,uncalibrated_gradient_anisotropy,calibrated_gradient_anisotropy,requested_psd_low_power,uncalibrated_psd_low_power,calibrated_psd_low_power,requested_psd_mid_power,uncalibrated_psd_mid_power,calibrated_psd_mid_power,requested_psd_high_power,uncalibrated_psd_high_power,calibrated_psd_high_power,requested_psd_slope,uncalibrated_psd_slope,calibrated_psd_slope,requested_autocorrelation_length_px,uncalibrated_autocorrelation_length_px,calibrated_autocorrelation_length_px,requested_island_count,uncalibrated_island_count,calibrated_island_count,requested_island_mean_area_px,uncalibrated_island_mean_area_px,calibrated_island_mean_area_px,rank,mode,prototype_id,generated_index,generated_std,generated_min,generated_max,generated_rq,generated_ra,generated_robust_range,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_count,generated_island_mean_area_px
mvp6_predicted_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,8.77006893503889,0.0,False,8.77006893503889,0.8366956099313098,0.36568386831999705,0.6629105102211972,0.0,0.29658333282822585,0.0,0.6233699917793274,5.466998100280762,True,3.766529544,0.6233700052380325,5.466998034560042,3.77116379,0.547626333401146,4.802720797101618,18.42131177,1.9758267396688463,17.328136491775513,0.7597831478,0.17342109587488924,1.5209149981489931,0.7139927381,0.13324077800071987,1.168530833067663,0.1696470866,0.14060872978663536,0.14060873015758488,13.69675014,9.164898430582776,13.506706491814032,8.824250106,4.004342331555977,8.327066326960175,6.338192434,1.3067404386200479,5.240388837820797,-3.481152555,-3.9759249231451053,-3.975924896756095,12.40264812,6.0,6.0,110.1385343,36.0,36.0,323.1165693,113.77777777777777,113.77777777777777,1,,,,,,,,,,,,,,,,,,,
mvp6_predicted_calibrated_v2,afmv2_89d4826511a7,6058,6058,1,weighted_rq_ra_range,8.744200623129254,0.0,False,8.744200623129254,1.001514308677907,0.3742818033020472,0.8549864778915736,0.0,0.28378338468699515,0.0,0.6287769675254822,5.498151779174805,True,3.766529544,0.6287769456492797,5.498151809640128,3.77116379,0.5526714040776157,4.832669679851728,18.42131177,1.9779939472675323,17.295976095199585,0.7597831478,0.16333718441625816,1.428253123202151,0.7139927381,0.12709768061864699,1.1113676270848991,0.1696470866,0.07232862383484863,0.0723286243589972,13.69675014,9.10020820764221,13.435968920115654,8.824250106,3.9606906308681293,8.276631727955776,6.338192434,1.2534856325467856,5.128361035440618,-3.481152555,-4.045677785061161,-4.045677780101499,12.40264812,7.0,7.0,110.1385343,33.0,33.0,323.1165693,124.12121212121212,124.12121212121212,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,17.862938196247104,0.0,False,17.862938196247104,1.6707527564134088,1.1550512955684684,0.7125573869716135,0.0,0.2717222436617526,0.0,0.6388034224510193,11.410905838012695,True,7.461155891,0.6388034316471494,11.410906043942395,5.68375206,0.5636669596021379,10.068747908257022,38.45360184,1.9700030064582825,35.19004093170166,0.5738551617,0.15615688558951438,2.7894207527827235,0.5797569752,0.12353482506953299,2.2066949141790047,0.1581800729,0.02573556943193925,0.0257355701474219,15.35902119,9.058579663902197,14.822921616703306,11.07345772,3.8419434123125003,9.583983199294616,6.144528389,1.185499348737757,6.477006813894885,-4.185360432,-4.0774301395978165,-4.0774301101486765,23.0,7.0,7.0,56.0,27.0,27.0,1170.285767,151.7037037037037,151.7037037037037,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_89d4826511a7,6058,6058,1,weighted_rq_ra_range,17.927521656705153,0.0,False,17.927521656705153,1.57575716501847,1.0890816530974132,0.6789410425667514,0.0,0.2823866106617211,0.0,0.6246066689491272,11.197649002075195,True,7.461155891,0.6246066446626006,11.197648582962188,5.68375206,0.5479086642339788,9.822643947682025,38.45360184,1.977825367450714,35.45750535964966,0.5738551617,0.1683799464851323,3.0186349828160974,0.5797569752,0.12715924794888497,2.2796500581571197,0.1581800729,0.054444326207183875,0.05444432546812453,15.35902119,9.137676746035725,14.909367947435962,11.07345772,3.9524790004569534,9.704162430801594,6.144528389,1.2418189017026893,6.574144119136111,-4.185360432,-4.032672817660653,-4.03267281075345,23.0,6.0,6.0,56.0,33.0,33.0,1170.285767,124.12121212121212,124.12121212121212,1,,,,,,,,,,,,,,,,,,,
mvp6_mean_condition_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,9.128825041833027,0.0,False,9.128825041833027,1.1984627016872684,0.4714252720095573,0.9762582563904856,0.0,0.2698458771733868,0.0,0.6358280181884766,5.804363250732422,True,4.184250401,0.6358280448657685,5.804363070535475,3.292603032,0.5563505378434244,5.078826802827052,19.40187733,1.981178364753723,18.085830945968628,0.7992681393,0.15916226102585582,1.4529644572716738,0.6662843896,0.12854251576505993,1.1734421547485339,0.1794238215,0.05578048420720152,0.05578048417941996,13.62486218,9.07413851121044,13.495905098412006,8.941313773,3.907899041779498,8.308518767003841,6.310598689,1.1304268912666153,5.048347751962934,-3.523139927,-4.09780581408862,-4.097805844694671,14.84347826,7.0,7.0,110.7043478,28.0,28.0,301.8089713,146.28571428571428,146.28571428571428,1,,,,,,,,,,,,,,,,,,,
,afmv2_89d4826511a7,6058,6058,,,,,,,,,,,,,,,,3.766529544,,,3.77116379,,,18.42131177,,,0.7597831478,,,0.7139927381,,,0.1696470866,,,13.69675014,,,8.824250106,,,6.338192434,,,-3.481152555,,,12.40264812,,,110.1385343,,,323.1165693,,,,mvp6_predicted_uncalibrated_v2_top0,,0,0.6233699917793274,-0.9979299902915955,0.9993436932563782,0.6233700052380325,0.547626333401146,1.9758267396688463,0.17342109587488924,0.13324077800071987,0.14060872978663536,9.164898430582776,4.004342331555977,1.3067404386200479,-3.9759249231451053,6.0,36.0,113.77777777777777
mvp6_predicted_calibrated_v2,afmv2_f797828167ab,6062,6062,0,weighted_rq_ra_range,8.950897468008273,0.0,False,8.950897468008273,0.9675050647889494,0.3779536688235343,0.8033820299307668,0.0,0.26577113989599177,0.0,0.6204783916473389,5.55383825302124,True,3.870289536,0.6204784063230925,5.553838438054965,3.742766863,0.5439477624291414,4.868820511680529,18.74821202,1.9702499395608903,17.635504541397097,0.7388762187,0.15804736844623213,1.4146657500166824,0.7053898202,0.12223588251419185,1.0941208205632158,0.18062093,0.09998395264947113,0.09998395272796788,13.67379201,9.014236462909384,13.39661216824546,8.867793986,3.8551400643547598,8.215798009097224,6.389800238,1.1482820590543992,5.045954642324981,-3.505485648,-4.067994344848172,-4.067994421023923,12.46222995,7.0,7.0,108.4049815,37.0,37.0,315.8051461,110.70270270270271,110.70270270270271,1,,,,,,,,,,,,,,,,,,,
mvp6_predicted_calibrated_v2,afmv2_f797828167ab,6062,6062,1,weighted_rq_ra_range,8.828148265568,0.0,False,8.828148265568,1.008393575969856,0.43324808300690804,0.7898551003525658,0.0,0.28369293659552386,0.0,0.6480382680892944,5.720977306365967,True,3.870289536,0.6480382501847043,5.72097750913867,3.742766863,0.5762889257783922,5.087563862306463,18.74821202,1.974591076374054,17.431981506347654,0.7388762187,0.16455242302740397,1.4526931263166245,0.7053898202,0.1327626994873119,1.1720487436951543,0.18062093,0.11184279266629489,0.1118427931606912,13.67379201,9.123615416156374,13.478505919394973,8.867793986,3.910989902878802,8.24493932871047,6.389800238,1.207441896865696,5.100803305749912,-3.505485648,-4.071897943930473,-4.071897971564862,12.46222995,7.0,7.0,108.4049815,32.0,32.0,315.8051461,128.0,128.0,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_f797828167ab,6062,6062,0,weighted_rq_ra_range,6.097910584450015,0.0,False,6.097910584450015,1.046161582959119,0.3667134932390124,0.91771126531043,0.0,0.2736046126411869,0.0,0.6245248913764954,3.8082969188690186,True,2.571070194,0.6245249217542072,3.8082970167541874,1.920552611,0.5461003016326988,3.3300707101868183,12.98373032,1.9635506242513658,11.973555622100829,0.3661493361,0.1571888926090952,0.9585237841843521,0.3454746902,0.12359758843663195,0.7536870190988615,0.04239833727,0.14946709152351026,0.1494670906058481,13.79552174,9.031032805770309,12.645774408658985,9.039554596,3.811838217584658,7.403997080327944,5.844088554,1.2000561936364398,4.367528543592414,-3.730400085,-4.051730281469358,-4.051730251846929,12.0,7.0,7.0,192.0,24.0,24.0,341.3333435,170.66666666666666,170.66666666666666,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_f797828167ab,6062,6062,1,weighted_rq_ra_range,6.07624102069858,0.0,False,6.07624102069858,0.8679759764341245,0.3587578726152299,0.7097884161130861,0.0,0.2930631453578721,0.0,0.6220043301582336,3.7794482707977295,True,2.571070194,0.6220043316132787,3.779448232807666,1.920552611,0.5435576730959757,3.302787428866819,12.98373032,1.975846960544586,12.005722193717958,0.3661493361,0.16803515392535784,1.021022095072857,0.3454746902,0.1290937757037912,0.7844048947231904,0.04239833727,0.0793310620687447,0.07933106247335352,13.79552174,9.153470993917013,12.761305832120332,9.039554596,3.9957993989387623,7.5848184710607764,5.844088554,1.311754957232647,4.538868301528012,-3.730400085,-3.991916834006654,-3.9919167846356896,12.0,6.0,6.0,192.0,35.0,35.0,341.3333435,117.02857142857142,117.02857142857142,1,,,,,,,,,,,,,,,,,,,
