descriptor,feature,group,mean_importance_delta_mse,std_importance_delta_mse,fold_count
island_mean_area_px,weighted_mean_centroid_y_mean,other_stable_geometry,2983055.5003135027,0.0,1
island_mean_area_px,std_centroid_y_std,other_stable_geometry,1533711.7919490691,0.0,1
island_mean_area_px,std_orientation_entropy,orientation_anisotropy,1233123.7930759229,0.0,1
island_mean_area_px,std_bar_like_score,elongated_bar_like,1209402.308354564,0.0,1
island_mean_area_px,weighted_median_centroid_y_std,other_stable_geometry,929450.4180351095,0.0,1
island_mean_area_px,weighted_median_projection_peak_count_y,other_stable_geometry,861080.2013481772,0.0,1
island_mean_area_px,std_centroid_x_std,other_stable_geometry,725793.1154314848,0.0,1
island_mean_area_px,std_pairwise_distance_hist_0,spacing_pairwise_distance,693273.5564999105,0.0,1
island_mean_area_px,weighted_median_centroid_x_std,other_stable_geometry,686872.2116836384,0.0,1
island_mean_area_px,std_fft_mid_power,fft_psd,651182.5164345708,0.0,1
island_mean_area_px,std_snr_score,mask_quality,547486.8231748175,0.0,1
island_mean_area_px,weighted_median_centroid_x_mean,other_stable_geometry,434199.07926646154,0.0,1
island_mean_area_px,weighted_median_pairwise_distance_hist_2,spacing_pairwise_distance,431426.91976812854,0.0,1
island_mean_area_px,weighted_mean_centroid_y_std,other_stable_geometry,429520.0524503561,0.0,1
island_mean_area_px,weighted_mean_centroid_x_std,other_stable_geometry,422162.3744702982,0.0,1
island_mean_area_px,std_artifact_candidate_count,mask_quality,411001.3945641788,0.0,1
island_mean_area_px,weighted_mean_pairwise_distance_hist_2,spacing_pairwise_distance,405163.3649050342,0.0,1
island_count,std_bar_like_score,elongated_bar_like,339888.50743104424,0.0,1
island_mean_area_px,iqr_projection_peak_count_y,other_stable_geometry,311402.8296345109,0.0,1
island_mean_area_px,std_pairwise_distance_hist_3,spacing_pairwise_distance,308081.0787379304,0.0,1
island_mean_area_px,weighted_median_component_density,spot_count_density,303092.7487179162,0.0,1
island_mean_area_px,std_projection_peak_prominence_y,other_stable_geometry,302086.29377023876,0.0,1
island_count,std_centroid_y_std,other_stable_geometry,298767.7009874643,0.0,1
island_mean_area_px,weighted_median_total_component_count,spot_count_density,284031.75508662034,0.0,1
island_mean_area_px,iqr_snr_score,mask_quality,244861.976081701,0.0,1
island_mean_area_px,weighted_median_mean_aspect_ratio,elongated_bar_like,224776.28858969547,0.0,1
island_mean_area_px,weighted_mean_fft_anisotropy,orientation_anisotropy,213001.5777844712,0.0,1
island_mean_area_px,iqr_center_component_fraction,other_stable_geometry,212840.25897433888,0.0,1
island_mean_area_px,weighted_mean_component_density,spot_count_density,179214.74444717914,0.0,1
island_mean_area_px,std_mean_aspect_ratio,elongated_bar_like,177199.2191800503,0.0,1
island_count,std_fft_mid_power,fft_psd,169941.0358969262,0.0,1
island_mean_area_px,weighted_mean_ring_likeness_proxy,other_stable_geometry,168354.59491869248,0.0,1
island_mean_area_px,weighted_median_projection_peak_prominence_x,other_stable_geometry,160322.28012999985,0.0,1
island_mean_area_px,std_nearest_neighbor_distance_mean,spacing_pairwise_distance,159840.2537665181,0.0,1
island_count,std_pairwise_distance_hist_1,spacing_pairwise_distance,137742.6120962256,0.0,1
island_mean_area_px,std_nearest_neighbor_distance_std,spacing_pairwise_distance,135022.93717203103,0.0,1
island_mean_area_px,weighted_mean_total_component_count,spot_count_density,115235.58417394105,0.0,1
island_mean_area_px,weighted_median_artifact_candidate_count,mask_quality,113227.9387863921,0.0,1
island_mean_area_px,weighted_median_vertical_spacing_peak,spacing_pairwise_distance,108879.98309540935,0.0,1
island_count,std_pairwise_distance_hist_2,spacing_pairwise_distance,107960.5815955801,0.0,1
island_count,std_snr_score,mask_quality,101356.28032056778,0.0,1
