descriptor,group,mean_importance_delta_mse,std_importance_delta_mse,feature_fold_count
autocorrelation_length_px,elongated_bar_like,20.939331041941177,98.43186595006357,30
autocorrelation_length_px,orientation_anisotropy,3.9368060860201353,70.53464341796328,10
autocorrelation_length_px,spot_count_density,0.3668455133458413,24.995130891980843,15
autocorrelation_length_px,other_stable_geometry,-2.7972317364181576,56.12029698834086,65
autocorrelation_length_px,spacing_pairwise_distance,-3.4695525700099634,64.69818306501219,35
autocorrelation_length_px,mask_quality,-7.89421660217312,40.74103355908429,15
autocorrelation_length_px,fft_psd,-12.659855500474942,28.661906789061558,10
gradient_anisotropy,spot_count_density,0.003215215556305051,0.007108533872897409,15
gradient_anisotropy,mask_quality,0.002141283727210219,0.005194273299399459,15
gradient_anisotropy,spacing_pairwise_distance,-0.0008024034460698786,0.01135193755282881,35
gradient_anisotropy,other_stable_geometry,-0.0026283019564273214,0.030191427614703475,65
gradient_anisotropy,orientation_anisotropy,-0.005562297946886408,0.0208640344167118,10
gradient_anisotropy,fft_psd,-0.006099863584942166,0.014307649095638841,10
gradient_anisotropy,elongated_bar_like,-0.013873444756309356,0.03022132531815539,30
gradient_std,fft_psd,0.056470262545305516,0.18491944901596774,10
gradient_std,spot_count_density,0.016781152509492525,0.08922355805828097,15
gradient_std,spacing_pairwise_distance,0.007020787505355169,0.1089562012985572,35
gradient_std,mask_quality,-0.009184620361393196,0.06025247871873356,15
gradient_std,orientation_anisotropy,-0.014954159428890756,0.235309468215407,10
gradient_std,other_stable_geometry,-0.019349982918416886,0.23404645006618452,65
gradient_std,elongated_bar_like,-0.05863367709174665,0.47371957086503935,30
island_count,fft_psd,13250.406921411235,62069.59117979625,10
island_count,spacing_pairwise_distance,6183.495125555726,39108.96820884274,35
island_count,mask_quality,4024.441873364213,30234.127352100895,15
island_count,spot_count_density,2825.788194343727,9101.272173199124,15
island_count,other_stable_geometry,-5708.76706864462,82747.65836532145,65
island_count,orientation_anisotropy,-16202.909668364888,51178.250882880195,10
island_count,elongated_bar_like,-47596.724775239556,168648.49256338162,30
island_mean_area_px,mask_quality,77302.40626476823,177080.7902577926,15
island_mean_area_px,spot_count_density,25542.312792978126,144287.02543909513,15
island_mean_area_px,other_stable_geometry,22750.669502718545,553222.0062558792,65
island_mean_area_px,spacing_pairwise_distance,17120.832353473,198760.44950252437,35
island_mean_area_px,fft_psd,408.13881214670835,307237.79630997457,10
island_mean_area_px,orientation_anisotropy,-91830.25023783153,570906.3431133757,10
island_mean_area_px,elongated_bar_like,-155078.5650953389,429453.2888102732,30
mean_abs_gradient,orientation_anisotropy,0.07052986954273917,0.3260909562775985,10
mean_abs_gradient,spacing_pairwise_distance,0.010620998898747049,0.14648200820084606,35
mean_abs_gradient,spot_count_density,0.0024608983093809063,0.07766513574029943,15
mean_abs_gradient,other_stable_geometry,-0.0010844104820461001,0.31673997158601036,65
mean_abs_gradient,fft_psd,-0.006777669404431119,0.11453001454875433,10
mean_abs_gradient,mask_quality,-0.008246060638891824,0.10546575862162749,15
mean_abs_gradient,elongated_bar_like,-0.071426802705487,0.6560535253659141,30
