control,descriptor,mse,mean_baseline_mse,improvement_ci_low,improvement_ci_high,beats_mean_fold_rate,best_real_mse,beats_real
brightness_only_diagnostic,autocorrelation_length_px,1277.8890092412084,117.5781818181818,-1160.3108274230267,-1160.3108274230267,0.0,297.8913758146593,False
exposure_only_diagnostic,autocorrelation_length_px,1277.8890092412084,117.5781818181818,-1160.3108274230267,-1160.3108274230267,0.0,297.8913758146593,False
forbidden_id_path_diagnostic,autocorrelation_length_px,181.12513733984704,117.5781818181818,-63.54695552166524,-63.54695552166524,0.0,297.8913758146593,True
random_gaussian_features,autocorrelation_length_px,120.72535147254162,117.5781818181818,-3.147169654359814,-3.147169654359814,0.0,297.8913758146593,True
raw240_feature_diagnostic,autocorrelation_length_px,380.7165855983985,117.5781818181818,-263.1384037802167,-263.1384037802167,0.0,297.8913758146593,False
shuffled_labels_global_diagnostic,autocorrelation_length_px,1145.9021600274102,121.80378181818182,-1024.0983782092285,-1024.0983782092285,0.0,297.8913758146593,False
shuffled_labels_within_train_folds,autocorrelation_length_px,5602.627278269704,117.5781818181818,-5485.049096451522,-5485.049096451522,0.0,297.8913758146593,False
shuffled_shape_bags_across_groups,autocorrelation_length_px,120.70920785029534,117.5781818181818,-3.131026032113539,-3.131026032113539,0.0,297.8913758146593,True
brightness_only_diagnostic,gradient_anisotropy,0.047832128814797925,0.007436101647552779,-0.04039602716724515,-0.04039602716724515,0.0,0.09128033348743135,True
exposure_only_diagnostic,gradient_anisotropy,0.047832128814797925,0.007436101647552779,-0.04039602716724515,-0.04039602716724515,0.0,0.09128033348743135,True
forbidden_id_path_diagnostic,gradient_anisotropy,0.006637700437901598,0.007436101647552779,0.0007984012096511816,0.0007984012096511816,1.0,0.09128033348743135,True
random_gaussian_features,gradient_anisotropy,0.02585616250153411,0.007436101647552779,-0.018420060853981332,-0.018420060853981332,0.0,0.09128033348743135,True
raw240_feature_diagnostic,gradient_anisotropy,0.2553706693576987,0.007436101647552779,-0.2479345677101459,-0.2479345677101459,0.0,0.09128033348743135,False
shuffled_labels_global_diagnostic,gradient_anisotropy,0.1267485927560523,0.0071243759027715785,-0.11962421685328072,-0.11962421685328072,0.0,0.09128033348743135,False
shuffled_labels_within_train_folds,gradient_anisotropy,0.04822561317571988,0.007436101647552777,-0.0407895115281671,-0.0407895115281671,0.0,0.09128033348743135,True
shuffled_shape_bags_across_groups,gradient_anisotropy,0.025811478315795167,0.007436101647552779,-0.018375376668242387,-0.018375376668242387,0.0,0.09128033348743135,True
brightness_only_diagnostic,gradient_std,0.31310864682472456,0.15440380983317306,-0.1587048369915515,-0.1587048369915515,0.0,1.1327774766749086,True
exposure_only_diagnostic,gradient_std,0.31310864682472456,0.15440380983317306,-0.1587048369915515,-0.1587048369915515,0.0,1.1327774766749086,True
forbidden_id_path_diagnostic,gradient_std,0.1417881826536101,0.15440380983317306,0.012615627179562966,0.012615627179562966,1.0,1.1327774766749086,True
random_gaussian_features,gradient_std,0.2730022643151336,0.15440380983317306,-0.11859845448196052,-0.11859845448196052,0.0,1.1327774766749086,True
raw240_feature_diagnostic,gradient_std,0.33775588420959723,0.15440380983317306,-0.18335207437642417,-0.18335207437642417,0.0,1.1327774766749086,True
shuffled_labels_global_diagnostic,gradient_std,0.9963686530279919,0.1693441314594251,-0.8270245215685669,-0.8270245215685669,0.0,1.1327774766749086,True
shuffled_labels_within_train_folds,gradient_std,0.5872143032296583,0.15440380983317306,-0.43281049339648525,-0.43281049339648525,0.0,1.1327774766749086,True
shuffled_shape_bags_across_groups,gradient_std,0.27267602283956155,0.15440380983317306,-0.11827221300638849,-0.11827221300638849,0.0,1.1327774766749086,True
brightness_only_diagnostic,island_count,90455.12506820931,4369.564509090908,-86085.5605591184,-86085.5605591184,0.0,406910.2684531154,True
exposure_only_diagnostic,island_count,90455.12506820931,4369.564509090908,-86085.5605591184,-86085.5605591184,0.0,406910.2684531154,True
forbidden_id_path_diagnostic,island_count,9282.33360745212,4369.564509090908,-4912.769098361211,-4912.769098361211,0.0,406910.2684531154,True
random_gaussian_features,island_count,65411.26494193154,4369.564509090908,-61041.70043284063,-61041.70043284063,0.0,406910.2684531154,True
raw240_feature_diagnostic,island_count,520653.9504079686,4369.564509090908,-516284.3858988777,-516284.3858988777,0.0,406910.2684531154,False
shuffled_labels_global_diagnostic,island_count,54743.313724968466,1929.3467636363637,-52813.9669613321,-52813.9669613321,0.0,406910.2684531154,True
shuffled_labels_within_train_folds,island_count,379043.3171484972,4369.564509090908,-374673.7526394063,-374673.7526394063,0.0,406910.2684531154,True
shuffled_shape_bags_across_groups,island_count,65214.94105363041,4369.564509090908,-60845.376544539504,-60845.376544539504,0.0,406910.2684531154,True
brightness_only_diagnostic,island_mean_area_px,2412206.8589388933,127448.63593754866,-2284758.2230013446,-2284758.2230013446,0.0,1133440.9680879945,False
exposure_only_diagnostic,island_mean_area_px,2412206.8589388933,127448.63593754866,-2284758.2230013446,-2284758.2230013446,0.0,1133440.9680879945,False
forbidden_id_path_diagnostic,island_mean_area_px,298497.709448999,127448.63593754866,-171049.07351145038,-171049.07351145038,0.0,1133440.9680879945,True
random_gaussian_features,island_mean_area_px,239103.52938257446,127448.63593754866,-111654.8934450258,-111654.8934450258,0.0,1133440.9680879945,True
raw240_feature_diagnostic,island_mean_area_px,1958396.7043493167,127448.63593754866,-1830948.068411768,-1830948.068411768,0.0,1133440.9680879945,False
shuffled_labels_global_diagnostic,island_mean_area_px,32859382.307237413,124937.01134752571,-32734445.295889888,-32734445.295889888,0.0,1133440.9680879945,False
shuffled_labels_within_train_folds,island_mean_area_px,3740348.2441596333,127448.63593754866,-3612899.6082220846,-3612899.6082220846,0.0,1133440.9680879945,False
shuffled_shape_bags_across_groups,island_mean_area_px,238616.54945072441,127448.63593754866,-111167.91351317575,-111167.91351317575,0.0,1133440.9680879945,True
brightness_only_diagnostic,mean_abs_gradient,0.9704885751304574,0.39554903027283395,-0.5749395448576234,-0.5749395448576234,0.0,2.5715981488393154,True
exposure_only_diagnostic,mean_abs_gradient,0.9704885751304574,0.39554903027283395,-0.5749395448576234,-0.5749395448576234,0.0,2.5715981488393154,True
forbidden_id_path_diagnostic,mean_abs_gradient,0.3399990273531243,0.39554903027283395,0.05555000291970963,0.05555000291970963,1.0,2.5715981488393154,True
random_gaussian_features,mean_abs_gradient,0.8230897915692023,0.39554903027283395,-0.4275407612963683,-0.4275407612963683,0.0,2.5715981488393154,True
raw240_feature_diagnostic,mean_abs_gradient,0.8646985860565721,0.39554903027283395,-0.4691495557837382,-0.4691495557837382,0.0,2.5715981488393154,True
shuffled_labels_global_diagnostic,mean_abs_gradient,0.4915433470725732,0.42804381922297774,-0.06349952784959545,-0.06349952784959545,0.0,2.5715981488393154,True
shuffled_labels_within_train_folds,mean_abs_gradient,2.890673024935293,0.39554903027283395,-2.495123994662459,-2.495123994662459,0.0,2.5715981488393154,False
shuffled_shape_bags_across_groups,mean_abs_gradient,0.8227202260647324,0.39554903027283395,-0.42717119579189844,-0.42717119579189844,0.0,2.5715981488393154,True
brightness_only_diagnostic,psd_high_power,7.236296668068555,1.0934781958430642,-6.142818472225491,-6.142818472225491,0.0,6.642661973772024,False
exposure_only_diagnostic,psd_high_power,7.236296668068555,1.0934781958430642,-6.142818472225491,-6.142818472225491,0.0,6.642661973772024,False
forbidden_id_path_diagnostic,psd_high_power,0.9629846332794897,1.0934781958430642,0.13049356256357447,0.13049356256357447,1.0,6.642661973772024,True
random_gaussian_features,psd_high_power,0.4593407210999405,1.0934781958430642,0.6341374747431237,0.6341374747431237,1.0,6.642661973772024,True
raw240_feature_diagnostic,psd_high_power,21.853462592056015,1.0934781958430642,-20.75998439621295,-20.75998439621295,0.0,6.642661973772024,False
shuffled_labels_global_diagnostic,psd_high_power,23.162779423076742,0.9517273668472014,-22.21105205622954,-22.21105205622954,0.0,6.642661973772024,False
shuffled_labels_within_train_folds,psd_high_power,49.182111817943685,1.0934781958430642,-48.08863362210062,-48.08863362210062,0.0,6.642661973772024,False
shuffled_shape_bags_across_groups,psd_high_power,0.45611486628567344,1.0934781958430642,0.6373633295573907,0.6373633295573907,1.0,6.642661973772024,True
brightness_only_diagnostic,psd_low_power,5.286420593096337,1.8675761712742358,-3.4188444218221012,-3.4188444218221012,0.0,4.4929648678480865,False
exposure_only_diagnostic,psd_low_power,5.286420593096337,1.8675761712742358,-3.4188444218221012,-3.4188444218221012,0.0,4.4929648678480865,False
forbidden_id_path_diagnostic,psd_low_power,1.2589275301138414,1.8675761712742358,0.6086486411603944,0.6086486411603944,1.0,4.4929648678480865,True
random_gaussian_features,psd_low_power,1.855609797741772,1.8675761712742358,0.01196637353246377,0.01196637353246377,1.0,4.4929648678480865,True
raw240_feature_diagnostic,psd_low_power,6.945952404706646,1.8675761712742358,-5.07837623343241,-5.07837623343241,0.0,4.4929648678480865,False
shuffled_labels_global_diagnostic,psd_low_power,51.472713944047655,1.3173339595855418,-50.155379984462115,-50.155379984462115,0.0,4.4929648678480865,False
shuffled_labels_within_train_folds,psd_low_power,37.78055244927835,1.8675761712742358,-35.912976278004116,-35.912976278004116,0.0,4.4929648678480865,False
shuffled_shape_bags_across_groups,psd_low_power,1.8525142290071281,1.8675761712742358,0.015061942267107664,0.015061942267107664,1.0,4.4929648678480865,True
brightness_only_diagnostic,psd_mid_power,2.272449879379975,2.1917907050795304,-0.08065917430044456,-0.08065917430044456,0.0,5.146847243222681,True
exposure_only_diagnostic,psd_mid_power,2.272449879379975,2.1917907050795304,-0.08065917430044456,-0.08065917430044456,0.0,5.146847243222681,True
forbidden_id_path_diagnostic,psd_mid_power,1.6689973880315347,2.1917907050795304,0.5227933170479957,0.5227933170479957,1.0,5.146847243222681,True
random_gaussian_features,psd_mid_power,1.8644250072366317,2.1917907050795304,0.3273656978428987,0.3273656978428987,1.0,5.146847243222681,True
raw240_feature_diagnostic,psd_mid_power,8.57299260169601,2.1917907050795304,-6.38120189661648,-6.38120189661648,0.0,5.146847243222681,False
shuffled_labels_global_diagnostic,psd_mid_power,57.27744685499181,2.341626854494301,-54.93582000049751,-54.93582000049751,0.0,5.146847243222681,False
