variant,split,row_count,descriptor_mse,descriptor_mae,descriptor_rmse,descriptor_r2,descriptor_spearman,prototype_accuracy,prototype_macro_f1,beats_mean_condition_mse,checkpoint,mae_checkpoint_loaded,label_fraction,model_family
label_25_temporal_random_init,val,6,0.542749285697937,0.599152147769928,0.7367151998553695,-0.3068453073501587,0.05147995617442146,0.3333333333333333,0.125,True,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_25_temporal_random_init/checkpoints/best.pt,False,0.25,temporal_random_init
label_25_temporal_mae_init,val,6,0.5434741973876953,0.5995336174964905,0.737207024781842,-0.3085908889770508,-0.10669762926561469,0.3333333333333333,0.125,True,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_25_temporal_mae_init/checkpoints/best.pt,True,0.25,temporal_mae_init
label_25_handcrafted_only,val,6,0.5560853481292725,0.6144307851791382,0.745711303474255,-0.33895623683929443,0.008213653575709613,0.0,0.0,True,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_25_handcrafted_only/checkpoints/best.pt,False,0.25,handcrafted_only
label_25_metadata_only,val,6,0.5397705435752869,0.600864827632904,0.7346907809243879,-0.29967308044433594,0.03535735357000154,0.5,0.26785714285714285,True,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_25_metadata_only/checkpoints/best.pt,False,0.25,metadata_only
label_50_temporal_random_init,val,6,0.5417732000350952,0.5978381037712097,0.7360524438075695,-0.30449509620666504,-0.02764092294645766,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_50_temporal_random_init/checkpoints/best.pt,False,0.5,temporal_random_init
label_50_temporal_mae_init,val,6,0.542688250541687,0.5983126759529114,0.736673774843171,-0.3066983222961426,-0.10899169066600002,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_50_temporal_mae_init/checkpoints/best.pt,True,0.5,temporal_mae_init
label_50_handcrafted_only,val,6,0.5561081767082214,0.6142284274101257,0.7457266098968317,-0.3390113115310669,-0.00057755521549919,0.0,0.0,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_50_handcrafted_only/checkpoints/best.pt,False,0.5,handcrafted_only
label_50_metadata_only,val,6,0.5397989153862,0.6006381511688232,0.7347100893455867,-0.2997415065765381,-0.06134594313329518,0.5,0.26785714285714285,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_50_metadata_only/checkpoints/best.pt,False,0.5,metadata_only
label_75_temporal_random_init,val,6,0.539730966091156,0.5969250798225403,0.7346638456404099,-0.2995777130126953,0.10543033269278337,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_75_temporal_random_init/checkpoints/best.pt,False,0.75,temporal_random_init
label_75_temporal_mae_init,val,6,0.5406296253204346,0.597352921962738,0.735275203798166,-0.3017416000366211,0.15009227746777076,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_75_temporal_mae_init/checkpoints/best.pt,True,0.75,temporal_mae_init
label_75_handcrafted_only,val,6,0.5551183223724365,0.6136990189552307,0.745062629832175,-0.3366278409957886,0.06535651071856675,0.0,0.0,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_75_handcrafted_only/checkpoints/best.pt,False,0.75,handcrafted_only
label_75_metadata_only,val,6,0.5382931232452393,0.599802553653717,0.7336846211044902,-0.2961156368255615,0.03096174917439715,0.6666666666666666,0.3666666666666667,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_75_metadata_only/checkpoints/best.pt,False,0.75,metadata_only
label_100_temporal_random_init,val,6,0.5389547348022461,0.5963372588157654,0.7341353654485296,-0.2977088689804077,0.11072435631249758,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_100_temporal_random_init/checkpoints/best.pt,False,1.0,temporal_random_init
label_100_temporal_mae_init,val,6,0.5399181246757507,0.5967816710472107,0.7347912116211998,-0.3000284433364868,0.12397534230103294,0.3333333333333333,0.125,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_100_temporal_mae_init/checkpoints/best.pt,True,1.0,temporal_mae_init
label_100_handcrafted_only,val,6,0.5550670623779297,0.6136686205863953,0.7450282292490196,-0.3365044593811035,0.052169697531753566,0.0,0.0,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_100_handcrafted_only/checkpoints/best.pt,False,1.0,handcrafted_only
label_100_metadata_only,val,6,0.5384582877159119,0.5999329090118408,0.7337971706922233,-0.2965134382247925,0.05293977115241913,0.5,0.26785714285714285,False,reports/rheed_ssl_temporal_mvp/20260703_072054/smoke/ablations/label_100_metadata_only/checkpoints/best.pt,False,1.0,metadata_only
