cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6022,M10_dense_island_spectral_pareto,1.6493401527404783,4.032660573198353,2.383320420457874,1.1890913248062134,1.106735348701477,1.0623674392700195,1.0417632429152233,1.0892877578735352,1.4009188413619995,0.0029103131883883287,33.860326809113815,0.009638110166479086,0.7986703038215648,0.19263744984385345,1.6493385000931227,1.6526473556321974e-06,0.450305670492837,0.0005870764736799483,0.0005776531132983477,9.423360381446867e-06,0.08066802962229858,0.0,0.0,0.33333333333333326,0.7422847353092412,1.4734460171660078,0.16346106658290546,0.005843615154438653,0.450305670492837,0.0,0.9970896868116117,7.031385191639211,1.037031888961792,0.03182648962459573,False,0.2790601998567581,0.24846458435058594,0.12313873860993191,0.33293794095516205,0.3801034092903137,0.12408588605720144,0.3532574474811554,0.49094733595848083,0.28045755296443814,1.0412099361419678,0.8516755104064941,0.22254300307990682,1.0917302966117859,7.265835285186768,0.8497446950335424,4.753507264260211e-05,8.08952885750083e-05,0.41238762504040877,4.793457831144333,4.5777729749679565,0.04711567335378535,-0.025231165666519492,-0.9570237980236759,0.9736358012009485,3.249199283520228,5.000395656952083,0.35021156195853326,1.1231387386099319,True
0,6022,M12a_edge_preserving_terrace,1.6493401527404783,4.032660573198353,2.383320420457874,1.6926939487457275,1.116106629371643,1.0623674392700195,1.050584372332184,1.0874255895614624,1.359055519104004,-0.003406601540569857,30.824489485938663,0.09034499862873457,0.1584615659713755,0.2847058019604469,1.6493385708134878,1.5819269905126276e-06,0.8890702083511911,0.0010374337666203548,0.000993838342783133,4.359542383704031e-05,0.2845765947859924,15.748031496062993,0.2857142857142857,0.2222222222222221,0.9701226657069587,2.244949376392172,0.23162597178348476,0.0547764495975025,0.8890702083511911,15.748031496062993,1.0034066015405698,6.638132087043242,1.0278589725494385,0.03834105977167593,False,0.24319379776716232,0.24846458435058594,0.021213432076043818,0.31411726772785187,0.3801034092903137,0.1736004991001363,0.27664515376091003,0.49094733595848083,0.43650747544884166,1.0427607893943787,0.8516755104064941,0.22436394689414269,1.1213552951812744,7.265835285186768,0.8456673938827874,2.1193991739868747e-05,8.08952885750083e-05,0.7380070939456863,4.315920187830924,4.5777729749679565,0.05720091157182497,0.171230236960474,-0.9570237980236759,1.1789195183171797,2.5491481289856703,5.000395656952083,0.49021071453784404,0.9787865679239561,True
1,6028,M10_dense_island_spectral_pareto,6.072564601898193,5.4692124767466535,0.6033521251515399,0.6316285729408264,1.1431753635406494,1.1072558164596558,1.0324401520832314,1.0954738855361938,1.3869500160217285,0.001902178538084821,34.004184012984126,0.0834660238941396,2.8909045505523707,0.6163425994537439,6.072558467173479,6.1347247140020045e-06,0.7922904779798232,0.0012758705168129936,0.0012325090868333327,4.3361429979681655e-05,0.04325816839054575,23.62204724409449,0.5,0.0,0.5093328527968491,0.6528414707019219,0.20920363239943982,0.013744773966134716,0.7922904779798232,23.62204724409449,0.9980978214619152,7.29471427299688,1.0438910722732544,0.037373979272187836,False,0.2627279609441757,0.3109492063522339,0.1550775638688545,0.3193082809448242,0.4175356328487396,0.2352550158024481,0.31353288888931274,0.467657208442688,0.3295668638715389,0.9458372294902802,1.0470943450927734,0.09670295334612071,0.9202956557273865,5.333611965179443,0.8274535789750831,2.962228540479327e-05,7.500562889716899e-05,0.6050658351867865,4.400347512960433,4.928185555934906,0.1071059595836056,0.03827111135215841,-0.2918466770149447,1.1311343056689958,2.7356821862627654,3.57313104792202,0.234373956742023,0.8449224361311455,True
1,6028,M12a_edge_preserving_terrace,6.072564601898193,5.4692124767466535,0.6033521251515399,0.8917038440704346,1.1646055579185486,1.1072558164596558,1.0517944820035023,1.1073689460754395,1.378739356994629,0.006260406041418237,35.42873477330655,0.2583404528283815,3.3231603240966834,0.8858767814512811,6.072558375896095,6.226002098763672e-06,0.8397110317289608,0.0013111626434317847,0.0012645473657561695,4.6615277675746315e-05,0.09352928864497123,15.748031496062993,0.3333333333333333,0.0,0.45471613409763434,1.0743052407048257,0.20254988734211227,0.04254223264143364,0.8397110317289608,15.748031496062993,0.9937395939585818,7.550750040010507,0.9864457845687866,0.04784442130967128,False,0.2413974106311798,0.3109492063522339,0.22367574607110557,0.3163057416677475,0.4175356328487396,0.24244611289897888,0.2697652727365494,0.467657208442688,0.423155961532432,0.9304472804069519,1.0470943450927734,0.11140072070152046,0.951662003993988,5.333611965179443,0.8215726959128399,1.9700124243559923e-05,7.500562889716899e-05,0.7373513890461695,4.069939261078835,4.928185555934906,0.17415056416098296,0.20749556215842363,-0.2918466770149447,1.7109745578764919,2.3285076466037427,3.57313104792202,0.34832850646272745,0.7763242539288944,True
2,6029,M10_dense_island_spectral_pareto,2.561024904251098,2.4065989771293146,0.1544259271217836,0.3200529217720032,1.1153197288513184,1.0970065593719482,1.0166937647937626,1.1266744136810303,1.415956735610962,0.027533585896821065,36.52722705946961,0.027724046532525914,0.7348613834381084,0.16094879884840796,2.5610222809096546,2.6233414436305225e-06,0.7498926001850773,0.0016532520358731873,0.001609804023441562,4.344801243179275e-05,0.06704671591975853,23.62204724409449,0.6,0.0,0.02280538102134881,0.27895698448896944,0.11650301647771687,0.010825371450411847,0.7498926001850773,23.62204724409449,0.9724664141031789,7.795135285831421,1.0671474933624268,0.03986813589963753,False,0.2723452150821686,0.33592918515205383,0.1892778980817187,0.3272814601659775,0.42805883288383484,0.23542878916647886,0.3477441966533661,0.510769784450531,0.31917625662321114,1.0557944774627686,0.9801638126373291,0.07716124983429029,1.1372602581977844,4.758741855621338,0.7610166105449956,4.8176610354369525e-05,8.534350720412351e-05,0.4354976502296616,4.678877264261246,4.748620142936707,0.014686977811691142,0.06744112566941854,0.02843638546901522,1.371649017871964,3.026902574882376,3.2065898112639726,0.05603686375800196,0.8107221019182813,True
2,6029,M12a_edge_preserving_terrace,2.561024904251098,2.4065989771293146,0.1544259271217836,0.6377976536750793,1.1403510570526123,1.0970065593719482,1.0395116121324557,1.1301994323730469,1.4038190841674805,0.019140372670118675,35.275115294164934,0.10209809337045739,2.052552785873413,0.3408547539347937,2.561022343025394,2.5612257039675512e-06,1.03740885745425,0.0018796288586082621,0.001815506904837809,6.412195377036746e-05,0.19409848206966096,31.496062992125985,0.8,0.125,0.11880691608413767,0.8686905661800015,0.22039957006861072,0.03986610727566431,1.03740885745425,31.496062992125985,0.9808596273298813,7.697391614312542,1.0679935216903687,0.03784823807041895,False,0.2397533804178238,0.33592918515205383,0.2862978537893257,0.3119135946035385,0.42805883288383484,0.27133008212405096,0.2743372917175293,0.510769784450531,0.4628944388073931,1.0654895305633545,0.9801638126373291,0.08705250778075481,1.234474241733551,4.758741855621338,0.7405881051784078,2.098612255662686e-05,8.534350720412351e-05,0.7540981939442386,4.160075776576996,4.748620142936707,0.12394008125394833,0.29036032717663923,0.02843638546901522,9.210873231164378,2.446535416583786,3.2065898112639726,0.2370288809657848,0.7137021462106743,True
3,6033,M10_dense_island_spectral_pareto,2.5392303466796875,6.180340500155115,3.6411101534754273,0.42435652017593384,1.1029415130615234,0.8999233543872833,1.2255949439299372,1.093957781791687,1.3682806491851807,0.0049249241853220275,35.96331283926703,0.025028499421653194,0.020419173240661337,0.14479869338154927,2.539227837781344,2.508898343300814e-06,0.8735252684834786,0.0017507610452817124,0.001709068217718716,4.1692827562777766e-05,0.1697872168739254,15.748031496062993,0.3333333333333333,0.0,0.2606511885710289,0.0395543884986993,0.10572337834962767,0.009856726962688023,0.8735252684834786,15.748031496062993,0.995075075814678,7.6534194960656965,1.0080513954162598,0.042016975010001234,False,0.26571378111839294,0.33288364112377167,0.2017817991254303,0.3212905824184418,0.4170430302619934,0.22959848479759593,0.3345012664794922,0.5166290402412415,0.3525310417639399,1.029910922050476,1.0336682796478271,0.0036349742672099924,1.0460102558135986,5.55627965927124,0.8117426911605826,4.2172907539399475e-05,7.675429832060583e-05,0.4505466343625275,4.691931558251381,4.667455363273621,0.0052440126520231336,0.07596279644713756,0.2926978699155083,0.7404736957290965,3.059219662502975,3.05547718716744,0.0012248415243460817,0.7982182008745697,True
3,6033,M12a_edge_preserving_terrace,2.5392303466796875,6.180340500155115,3.6411101534754273,0.6134074926376343,1.1113203167915344,0.8999233543872833,1.2349055187574076,1.0962579250335693,1.3667227029800415,0.011554922035966286,35.72689057128634,0.0797335150199685,0.91284435749054,0.14688478648162118,2.5392277962145706,2.550465116879508e-06,1.0631399892961249,0.0019522510375854507,0.0018913511227667962,6.089991481846615e-05,0.11898117813945497,7.874015748031496,0.16666666666666666,0.1428571428571428,0.09974262638066689,0.6059834923597371,0.07789737001061432,0.03140066230913896,1.0631399892961249,7.874015748031496,0.9884450779640337,7.616515891010768,1.0132241249084473,0.04600335766890964,False,0.24576032161712646,0.33288364112377167,0.2617230429603818,0.3196018636226654,0.4170430302619934,0.23364775231494417,0.27349622547626495,0.5166290402412415,0.4706139140986827,1.0126261115074158,1.0336682796478271,0.020356790040592602,1.1151677370071411,5.55627965927124,0.7992959668352247,2.087961156253135e-05,7.675429832060583e-05,0.7279681787290092,4.322417400479317,4.667455363273621,0.0739242126468467,0.24937955044558158,0.2926978699155083,0.14799670213668176,2.456516975174513,3.05547718716744,0.19602836981027807,0.7382769570396183,True
4,6047,M10_dense_island_spectral_pareto,3.348536252975464,3.9223745726714014,0.5738383196959376,0.6743369698524475,1.1099764108657837,1.102499008178711,1.0067822307608467,1.1160736083984375,1.3957632780075073,0.004631241986137997,39.67668224221819,0.06575507618473653,0.6807148265838627,0.21691290342950253,3.3485328768772895,3.376098174356912e-06,1.0479090088841991,0.0042502806166129226,0.004138925989420165,0.00011135462719318379,0.06745642204793123,39.37007874015748,1.25,0.0,0.04638413320738981,0.39885060801848526,0.07309784082961926,0.01963696122638825,1.0479090088841991,39.37007874015748,0.995368758013862,8.672710703034728,1.0254645347595215,0.030978639077394378,False,0.2644979804754257,0.39140765368938446,0.32423912005224215,0.3217933177947998,0.5027503967285156,0.35993423398814806,0.34313593804836273,0.6040414273738861,0.43193310508490934,1.0505122542381287,0.9567328691482544,0.09802044866856383,0.9569533169269562,4.3265016078948975,0.7788159109473737,4.4781922406987885e-05,0.00013667912734787374,0.6723572700825812,4.520970003604889,4.901745465993882,0.0776816064870448,-0.1228456530185309,-0.40445865330085984,0.6962714185591892,2.857553281322157,3.5980931908667824,0.2058145440547161,0.6757608799477579,True
4,6047,M12a_edge_preserving_terrace,3.348536252975464,3.9223745726714014,0.5738383196959376,1.2391676902770996,1.1425474882125854,1.102499008178711,1.0363251846367039,1.1201772689819336,1.3922315835952759,0.007943526085583219,38.59202894026318,0.17522093984335996,2.4934411001205454,0.3696053136439339,3.3485329574662477,3.29550921618349e-06,1.4822609165684248,0.004506281358840236,0.0043714004997018946,0.00013488085913845033,0.4182510351226649,39.37007874015748,1.25,0.0,0.236397556304498,0.9513189714184263,0.1788390133263811,0.05232762217561082,1.4822609165684248,39.37007874015748,0.9920564739144168,8.601615562413562,1.0553486347198486,0.03241363360634513,False,0.22795052081346512,0.39140765368938446,0.41761353242631427,0.30068568885326385,0.5027503967285156,0.40191854484874007,0.25805962085723877,0.6040414273738861,0.5727782745313154,1.0533716082572937,0.9567328691482544,0.1010091136463968,0.9982708394527435,4.3265016078948975,0.7692660421918895,1.7553261446560676e-05,0.00013667912734787374,0.8715732110149901,4.06167088508606,4.901745465993882,0.17138274248140456,0.12646607051266665,-0.40445865330085984,1.312679848683059,2.2536315086224037,3.5980931908667824,0.37365949432802137,0.5823864675736857,False
