outer_fold,held_growth_run_id,held_source_split,fit_growth_count,fit_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6022,val,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,6.745698690414429
1,6028,train,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.792459011077881
2,6029,train,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.865537881851196
3,6033,test,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.894779205322266
4,6047,train,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.80849289894104
5,6048,train,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.817469835281372
6,6056,val,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.750942945480347
7,6057,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,6.020504951477051
8,6062,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.7462921142578125
9,6063,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.85769510269165
