method,metric,value
M5_cloudlike_spectral_hybrid,median_composite_score,8.54472155731617
M10_dense_island_spectral_pareto,median_composite_score,8.10627941529057
M5_cloudlike_spectral_hybrid,median_condition_descriptor_mae_z,0.9863879680633544
M10_dense_island_spectral_pareto,median_condition_descriptor_mae_z,0.876477837562561
M5_cloudlike_spectral_hybrid,median_normalized_psd_log_distance,0.9253710764619189
M10_dense_island_spectral_pareto,median_normalized_psd_log_distance,0.8597532946386037
M5_cloudlike_spectral_hybrid,median_island_feature_mae_z,1.4919260847992224
M10_dense_island_spectral_pareto,median_island_feature_mae_z,1.5142667220499186
M5_cloudlike_spectral_hybrid,median_afm_prior_mahalanobis,7.9848617343744435
M10_dense_island_spectral_pareto,median_afm_prior_mahalanobis,6.438357459868581
M5_cloudlike_spectral_hybrid,texture_gate_pass_fraction,0.8666666666666667
M10_dense_island_spectral_pareto,texture_gate_pass_fraction,0.8666666666666667
