cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction
0,6028,M5_cloudlike_spectral_hybrid,1.7989145764041674,2.3622866302542755,7.503926492242586,2.9622902259698,6.666666666666667,66.66666666666667,0.12666010856628418,1.5011640600561709,0.0015455962848363036,2.2499048351651325,2.3978952727983707,2.888826161611328,2.8903717578961645,2.967447097809794,2.833213344056216,3.1883634739493134,5.111987788356544,3.208366141256163,4.709530201312334,3.569433499972762,4.48863636973214,0.8731867322480775,0.8953145917001338,0.8218630692362381,0.816496580927726,1.2233712673187256,1.3104304075241089,1.228423833847046,1.1017637252807617,1.2126818299293518,1.0615882873535156,2.8262445901343254,3.6109179126442243,3.0529543407494253,3.817712325956905,0.41731445491313934,0.5960701107978821,0.18979869782924652,0.2374238669872284,0.074493408203125,0.16900634765625
0,6028,M10_dense_island_spectral_pareto,1.7832013362794714,2.1100536480877214,7.457820362738382,2.9622902259698,6.666666666666667,66.66666666666667,0.37387531995773315,0.8435648403380904,0.28836841435776694,2.1383330595080277,2.3978952727983707,2.6020033435383976,2.8903717578961645,2.9700856263602153,2.833213344056216,3.6199662956602348,5.111987788356544,3.8659653609742435,4.709530201312334,3.7273599746820008,4.48863636973214,0.9240766073871409,0.8953145917001338,0.7846255807701503,0.816496580927726,1.437398076057434,1.3104304075241089,1.4756390452384949,1.1017637252807617,1.3627850413322449,1.0615882873535156,2.8903717578961645,3.6109179126442243,4.115022155063057,3.817712325956905,0.4504862576723099,0.5960701107978821,0.1747797429561615,0.2374238669872284,0.119964599609375,0.16900634765625
1,6029,M5_cloudlike_spectral_hybrid,1.2948326813819695,1.6694331358314418,8.001301115163608,2.9365055408958605,6.666666666666667,80.0,0.10996383428573608,0.8911421411227662,0.027033610635137872,2.1972245773362196,2.4849066497880004,2.9174053685313024,2.8903717578961645,3.258096538021482,3.044522437723423,3.024866727615979,4.543294782270004,3.7435868471068696,4.634728988229636,3.3961722137354045,4.204692619390966,0.8660723581467986,0.8585365853658536,0.8424277362589603,0.8168899108266634,1.200778841972351,1.3746683597564697,1.1871716380119324,1.2971354722976685,1.1752986907958984,1.1882182359695435,2.908555579981602,3.6375861597263857,3.496048213707944,3.676300671907076,0.4452989995479584,0.5702724456787109,0.21234209835529327,0.25343936681747437,0.067657470703125,0.10955810546875
1,6029,M10_dense_island_spectral_pareto,0.9579054508618376,1.215974667599172,4.405958222380727,2.9365055408958605,33.333333333333336,80.0,0.07073503732681274,0.8071520510426367,0.048496132993655294,2.3502401828962083,2.4849066497880004,2.93886789088982,2.8903717578961645,3.1513094878724526,3.044522437723423,3.480410999959415,4.543294782270004,3.827576937186999,4.634728988229636,3.925441332404926,4.204692619390966,0.8903376436781609,0.8585365853658536,0.7975273519582338,0.8168899108266634,1.3728445172309875,1.3746683597564697,1.3678705096244812,1.2971354722976685,1.3684451580047607,1.1882182359695435,2.9444389791664403,3.6375861597263857,3.4667115128653574,3.676300671907076,0.46380580961704254,0.5702724456787109,0.1852780431509018,0.25343936681747437,0.113006591796875,0.10955810546875
2,6047,M5_cloudlike_spectral_hybrid,1.4802093737707787,1.9381675707618764,7.6956915683244365,4.063601437418675,6.666666666666667,33.333333333333336,0.1249743103981018,1.2385033372674226,0.0312601784906672,2.772588722239781,2.1383330595080277,3.4175922930736506,3.448852471564318,3.6622449896742664,3.5614333292995415,3.037673015544342,4.526784798013117,3.318301254240783,4.556804591508206,3.06561324474157,3.9845923882612655,0.9101978691019786,0.8736479842674533,0.809388528033496,0.8174339980922729,1.1298934817314148,1.2793259024620056,1.0497635006904602,1.174737811088562,1.0133917927742004,1.1723089814186096,3.7256208424938384,3.7494348669884654,3.2430803944720443,3.6372397793869355,0.5616661310195923,0.6723582446575165,0.3068680763244629,0.307731568813324,0.04412841796875,0.091400146484375
2,6047,M10_dense_island_spectral_pareto,1.5142667220499186,1.735567563013279,6.438357459868581,4.063601437418675,6.666666666666667,33.333333333333336,0.16344058513641357,0.9221703417276466,0.5402968915827158,2.302585092994046,2.1383330595080277,2.908555579981602,3.448852471564318,3.257356345436265,3.5614333292995415,2.76669474436376,4.526784798013117,3.634634249780559,4.556804591508206,3.433466642230941,3.9845923882612655,0.9121662852784135,0.8736479842674533,0.7412809287836319,0.8174339980922729,1.347635805606842,1.2793259024620056,1.3381783962249756,1.174737811088562,1.2938265204429626,1.1723089814186096,3.257356345436265,3.7494348669884654,3.3649120352447377,3.6372397793869355,0.49055851995944977,0.6723582446575165,0.22129669040441513,0.307731568813324,0.075347900390625,0.091400146484375
3,6048,M5_cloudlike_spectral_hybrid,1.818655479654651,2.1002814942868717,10.650932155879449,4.061601089128727,6.666666666666667,33.333333333333336,0.11692100763320923,1.0955727656299183,1.1343417706591823,2.2499048351651325,2.470821211304652,1.9356005054539454,3.0699422761131276,1.791759469228055,2.6390573296152584,3.3667009459186796,3.908006919579514,2.8995463272302633,3.9951190928601816,3.728660365532029,4.185505340619078,0.9583333333333333,0.9097899820812817,0.778532073758438,0.8222538493179932,1.3586631417274475,1.411636233329773,1.4395663738250732,1.322645366191864,1.4763419032096863,1.2780503630638123,2.6364997792818734,3.2180751841847135,4.2553863118066575,3.1558674045764574,0.29767684638500214,0.4978726953268051,0.11490623280405998,0.2293153628706932,0.154876708984375,0.12640380859375
3,6048,M10_dense_island_spectral_pareto,1.4080572091098398,1.6506187891031445,7.45055448313679,4.061601089128727,6.666666666666667,33.333333333333336,0.257640540599823,0.011045915445157206,0.7197020932169194,2.1383330595080277,2.470821211304652,2.3502401828962083,3.0699422761131276,2.4337672252277915,2.6390573296152584,3.0790188734668984,3.908006919579514,3.9840731774150244,3.9951190928601816,3.9211393895586757,4.185505340619078,0.9084943389849602,0.9097899820812817,0.7554922533454002,0.8222538493179932,1.61053067445755,1.411636233329773,1.580285906791687,1.322645366191864,1.456854522228241,1.2780503630638123,2.470821211304652,3.2180751841847135,3.348517123833242,3.1558674045764574,0.3927508741617203,0.4978726953268051,0.14430025219917297,0.2293153628706932,0.2047119140625,0.12640380859375
4,6057,M5_cloudlike_spectral_hybrid,2.5435786382037824,2.8320676095700543,8.316370602518614,2.841531394644024,6.666666666666667,93.33333333333333,0.3013727366924286,1.1411911928382636,0.8997708048350552,2.9907071056272403,2.4849066497880004,3.6723595270748364,2.772588722239781,3.951058773138224,2.4849066497880004,2.908555579981602,4.564348191467836,3.1073040492110957,4.248495242049359,3.1230533827407814,4.04305126783455,0.8671554552912223,0.8947368421052632,0.8264571375067431,0.8291777847839392,1.0775968432426453,1.4109982252120972,0.9899349510669708,1.2913076877593994,0.9132638871669769,1.274935245513916,4.060294355870135,3.5553480614894135,3.109549001847522,3.5263605246161616,0.6591436862945557,0.5302990674972534,0.41445113718509674,0.22223392128944397,0.036773681640625,0.1640625
4,6057,M10_dense_island_spectral_pareto,1.3558435931551114,1.6917941654749897,5.7633150286916575,2.841531394644024,13.333333333333334,93.33333333333333,0.09064459800720215,0.9169288940539575,0.5771614478410578,2.470821211304652,2.4849066497880004,3.349750170080839,2.772588722239781,3.3667009459186796,2.4849066497880004,3.1513094878724526,4.564348191467836,3.331566347995402,4.248495242049359,3.321894866573836,4.04305126783455,0.891048951048951,0.8947368421052632,0.7907125882272521,0.8291777847839392,1.2665215134620667,1.4109982252120972,1.2006630897521973,1.2913076877593994,1.1877843141555786,1.274935245513916,3.349750170080839,3.5553480614894135,3.275540167521702,3.5263605246161616,0.5266725122928619,0.5302990674972534,0.2605290859937668,0.22223392128944397,0.061309814453125,0.1640625
