cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6028,M5_cloudlike_spectral_hybrid,6.072564601898193,2.495171253945415,3.5773933479527784,0.9140800833702087,1.1778786182403564,1.1072558164596558,1.063781829574407,1.0996308326721191,1.388725996017456,-0.0014153151723719888,35.36839943007918,0.09862139688603389,2.057180376052859,0.3931128581101042,6.072558354854492,6.247043701002042e-06,0.7327717355048619,0.0010585374049508767,0.0010500234896337053,8.513915317327566e-06,0.377417602194114,23.62204724409449,0.5,0.375,0.22749215769337675,0.6479531579682014,0.11762182659070401,0.01624048601130701,0.7327717355048619,23.62204724409449,1.001415315172372,7.536296212173138,1.075979471206665,0.03350215590550282,False,0.28052474558353424,0.3109492063522339,0.0978438283397184,0.3187636584043503,0.4175356328487396,0.2365593896034531,0.3652632236480713,0.467657208442688,0.21895093873478744,0.9500938951969147,1.0470943450927734,0.09263773637060799,0.9732455909252167,5.333611965179443,0.817525984777471,5.2162263064823e-05,7.500562889716899e-05,0.30455535362104263,4.588408504724503,4.928185555934906,0.06894566922327361,0.05667370076005225,-0.2918466770149447,1.1941899813275931,2.9397402160989534,3.57313104792202,0.17726493188415793,0.9021561716602816,True
0,6028,M6a_superellipse_island_primitives,6.072564601898193,2.495171253945415,3.5773933479527784,1.819887638092041,0.9970680475234985,1.1072558164596558,0.9004857167619384,1.0985581874847412,1.4345693588256836,-0.003629132541774004,35.776692956559614,1.0012559526333926,4.04003918647766,1.9770799680986562,6.072558692511878,5.909386315394727e-06,0.5944395654852636,0.0008486244897055739,0.0008384062837482446,1.0218205957209e-05,0.22106364690588176,7.874015748031496,0.16666666666666666,0.16666666666666674,1.205581070710184,2.6845614638771673,0.46290046400257523,0.164881893574793,0.5944395654852636,7.874015748031496,1.003629132541774,7.545135110478733,0.9982292652130127,0.04149992269868065,False,0.25293591618537903,0.3109492063522339,0.1865683815289728,0.3501124680042267,0.4175356328487396,0.16147882848824616,0.361924946308136,0.467657208442688,0.22608923849723922,0.9719580411911011,1.0470943450927734,0.07175695700564139,0.9876507520675659,5.333611965179443,0.8148251581638377,5.587409102066888e-05,7.500562889716899e-05,0.25506802833063386,5.492468665838242,4.928185555934906,0.11450118983928721,0.720810663884692,-0.2918466770149447,3.4698265241779027,6.064763683774926,3.57313104792202,0.6973247279306848,0.8134316184710272,True
0,6028,M6b_multiscale_laguerre_terraces,6.072564601898193,2.495171253945415,3.5773933479527784,1.1690787076950073,1.1275973320007324,1.1072558164596558,1.0183711074159147,1.144148826599121,1.4130618572235107,-0.00556976287157076,29.841014106328668,0.06710585883857867,2.371277437210086,0.638618817754288,6.072558528408459,6.073489734248483e-06,1.328598083816112,0.0014924423059249348,0.0014312014953457076,6.124081057903307e-05,0.24423245460341203,62.99212598425197,1.3333333333333333,0.23076923076923084,0.44854353286859683,0.7271635644219683,0.21664342163928918,0.011050662420319268,1.328598083816112,62.99212598425197,1.0055697628715707,6.833169069276952,1.07198166847229,0.038026485416222375,False,0.14767253398895264,0.3109492063522339,0.5250911371625318,0.22028689086437225,0.4175356328487396,0.47241175714414907,0.20997077226638794,0.467657208442688,0.5510156403541887,1.017324298620224,1.0470943450927734,0.028431102328140057,0.9462586641311646,5.333611965179443,0.8225857692106537,9.71743799594842e-06,7.500562889716899e-05,0.8704438834947867,4.456986249685287,4.928185555934906,0.09561314218012021,-0.05605366380636377,-0.2918466770149447,0.807934548442731,2.628059612494293,3.57313104792202,0.2644939194092364,0.4749088628374682,False
0,6028,M6c_island_structure_plus_spectral_prior,6.072564601898193,2.495171253945415,3.5773933479527784,0.8876244425773621,1.1581941843032837,1.1072558164596558,1.0460041546735772,1.0922752618789673,1.364810585975647,0.005041522391207662,31.70287089141979,0.10724813590422855,2.6425466823577857,0.29329306754328677,6.07255857954629,6.022351903389733e-06,0.959071931968125,0.001409511744795755,0.0013588969048312094,5.061483996440299e-05,0.10959616328821475,78.74015748031496,1.6666666666666667,0.0625,0.05525139286175115,0.7636419250583679,0.0845887597224542,0.017661094643206532,0.959071931968125,78.74015748031496,0.9949584776087923,7.15714658626031,0.9605146646499634,0.035690189398147804,False,0.2199457511305809,0.3109492063522339,0.2926634104946613,0.25754479318857193,0.4175356328487396,0.3831788883947241,0.27953536808490753,0.467657208442688,0.40226438716561563,1.021548092365265,1.0470943450927734,0.02439727885766122,0.935284823179245,5.333611965179443,0.82464325689884,2.4770553617297196e-05,7.500562889716899e-05,0.6697507376245446,4.506798177957535,4.928185555934906,0.08550558277374595,0.05735939521492704,-0.2918466770149447,1.1965394836823509,2.895150830982737,3.57313104792202,0.18974401102180885,0.7073365895053386,True
1,6029,M5_cloudlike_spectral_hybrid,2.561024904251098,2.575483893513422,0.014458989262323918,0.6441079378128052,1.1872189044952393,1.0970065593719482,1.0822350097659752,1.114623785018921,1.4094789028167725,0.007737688087400314,38.49237653736199,0.019916040543842772,0.7302788543701162,0.07880786496543846,2.5610223366609124,2.5675901857979966e-06,0.6649017403881422,0.0011800216833868227,0.001190737815447733,1.071613206104245e-05,0.40751901702472004,23.62204724409449,0.6,0.4285714285714286,0.13307076781975757,0.1092194122520902,0.09144580704026994,0.0077765899418336115,0.6649017403881422,23.62204724409449,0.9922623119125997,8.160888931836142,1.0590312480926514,0.03293449011936447,False,0.3167092800140381,0.33592918515205383,0.05721415699358219,0.36019714176654816,0.42805883288383484,0.15853356105304983,0.43969766795635223,0.510769784450531,0.13914706519031028,0.9961438477039337,0.9801638126373291,0.01630343301861665,0.9665481150150299,4.758741855621338,0.7968899880809295,9.304555641183809e-05,8.534350720412351e-05,0.09024762937493201,4.7126695251464845,4.748620142936707,0.00757075038813047,-0.06325464930287238,0.02843638546901522,3.224426496531908,3.1722325558621103,3.2065898112639726,0.010714577611758631,0.9427858430064178,True
1,6029,M6a_superellipse_island_primitives,2.561024904251098,2.575483893513422,0.014458989262323918,1.7646989822387695,0.9563314318656921,1.0970065593719482,0.8717645520854547,1.0456464290618896,1.3802034854888916,0.013428341820126864,35.342616506276656,0.4492135705751483,2.5247367382049575,0.8225764790713097,2.5610223890813875,2.515169710726184e-06,0.6568568006768262,0.0015598256510214181,0.0015169570261946235,4.2868624826849884e-05,0.031227952597669528,15.748031496062993,0.4,0.0,1.268757952312801,4.100933183406571,0.40881556940664165,0.17540382756626705,0.6568568006768262,15.748031496062993,0.9865716581798731,7.525559842687363,0.9347391128540039,0.04762790541824422,False,0.24220634996891022,0.33592918515205383,0.2789958102054194,0.33557839691638947,0.42805883288383484,0.21604608727357438,0.3312232196331024,0.510769784450531,0.35152150789534026,1.0187133252620697,0.9801638126373291,0.03932966319274259,0.8994509279727936,4.758741855621338,0.8109897625755212,4.063453235086081e-05,8.534350720412351e-05,0.5238708405353947,5.915966701507569,4.748620142936707,0.24582858250037581,1.1799420443610003,0.02843638546901522,40.49409374291559,6.822840944307302,3.2065898112639726,1.1277560729284164,0.7210041897945806,True
1,6029,M6b_multiscale_laguerre_terraces,2.561024904251098,2.575483893513422,0.014458989262323918,0.9491006135940552,1.2347962856292725,1.0970065593719482,1.1256051981459534,1.1896216869354248,1.4559288024902344,-0.017281426752450545,31.512179009702983,0.06918259448548314,1.1919668626785267,0.21558282159099806,2.561022281877189,2.6223739091335574e-06,1.5128911344963487,0.002005372691832652,0.0019296857029256027,7.568698890706407e-05,0.3588598724427374,94.48818897637796,2.4,0.0625,0.19901788885779018,0.5545504214639361,0.13944004674841276,0.027013636290378784,1.5128911344963487,94.48818897637796,1.0172814267524506,7.478947291977008,1.025660514831543,0.0356898485312836,False,0.1364467591047287,0.33592918515205383,0.5938228497682692,0.2059156820178032,0.42805883288383484,0.5189547179051346,0.19332177937030792,0.510769784450531,0.6215089747756379,1.1090558469295502,0.9801638126373291,0.13150050290615298,0.9581649005413055,4.758741855621338,0.7986516332232945,7.90939515285012e-06,8.534350720412351e-05,0.9073228249932063,4.226570435762405,4.748620142936707,0.10993713783378095,-0.006015931105927387,0.02843638546901522,1.2115575171282738,2.4378365245527225,3.2065898112639726,0.23974169817754867,0.40617715023173084,False
1,6029,M6c_island_structure_plus_spectral_prior,2.561024904251098,2.575483893513422,0.014458989262323918,0.7280806303024292,1.2329761981964111,1.0970065593719482,1.1239460581733507,1.0812220573425293,1.3577027320861816,0.011141397484059607,33.46258337692683,0.09303916223430742,1.8166854476928709,0.1823009871354142,2.5610223044751477,2.5997759505180795e-06,0.9426409660292981,0.0018109801690582294,0.0017584234746826895,5.2556694375435626e-05,0.1627455005543288,86.61417322834646,2.2,0.1333333333333333,0.1075305431278589,0.743983457681058,0.14656527318858692,0.036328878609948045,0.9426409660292981,86.61417322834646,0.9888586025159404,7.646179616424038,0.9982648491859436,0.03125626743295582,False,0.22663605213165283,0.33592918515205383,0.3253457509829964,0.2635898292064667,0.42805883288383484,0.3842205581166017,0.29817843437194824,0.510769784450531,0.4162175534860219,1.021143227815628,0.9801638126373291,0.04180874120218287,0.9962339699268341,4.758741855621338,0.7906518150905755,3.181334147477172e-05,8.534350720412351e-05,0.6272318478934669,4.239007079601288,4.748620142936707,0.10731813621551474,-0.08940413064806631,0.02843638546901522,4.144004738066397,2.4278576606412257,3.2065898112639726,0.24285368458642564,0.6746542490170035,True
2,6047,M5_cloudlike_spectral_hybrid,3.348536252975464,2.3676269354742043,0.9809093175012595,1.6124045848846436,1.1191184520721436,1.102499008178711,1.0150743390879664,1.1077673435211182,1.3991241455078125,0.005796059385495898,49.194920304487766,0.04985863250772793,0.9872599411010743,0.352478022539616,3.3485328761456117,3.376829852186347e-06,0.9075360210966288,0.00016544289210707053,0.0005664593657190757,0.00040101647361190227,0.7686958248973523,7.874015748031496,0.25,0.25,0.45932929701069836,0.9007104798199759,0.16056429208921513,0.014889679583507176,0.9075360210966288,7.874015748031496,0.9942039406145041,10.297249905101374,1.06147301197052,0.026970595526648142,False,0.4224400818347931,0.39140765368938446,0.07928416282333488,0.4880784898996353,0.5027503967285156,0.029183282448612596,0.7702570557594299,0.6040414273738861,0.27517256408749696,1.0465915203094482,0.9567328691482544,0.09392240410971961,1.0157400369644165,4.3265016078948975,0.7652283232459874,0.000513056695966613,0.00013667912734787374,2.7537311359970023,4.963974133729935,4.901745465993882,0.012695205854275372,-0.40025167186833355,-0.40445865330085984,0.010401511744630406,3.8180927782619523,3.5980931908667824,0.061143382265252524,1.079284162823335,True
2,6047,M6a_superellipse_island_primitives,3.348536252975464,2.3676269354742043,0.9809093175012595,1.4006762504577637,1.0173286199569702,1.102499008178711,0.9227478776942946,1.1091549396514893,1.4166765213012695,-0.0014643197228011978,40.3944272009431,0.3007992122305936,1.989543886184693,0.5423020593997853,3.348532815201475,3.4377739890345538e-06,1.0852599857960021,0.004251769259552729,0.00413642852942601,0.00011534073012705844,0.16861019704484503,23.62204724409449,0.75,0.1071428571428572,0.7216520844743087,2.1573791064549352,0.23851570166115169,0.08983005890835671,1.0852599857960021,23.62204724409449,1.0014643197228013,8.727887223148873,0.9887481927871704,0.02957607020267681,False,0.2541966959834099,0.39140765368938446,0.35055767666429755,0.33499081432819366,0.5027503967285156,0.33368364001692047,0.3204842805862427,0.6040414273738861,0.46943327715191435,1.1873382925987244,0.9567328691482544,0.24103428541738078,1.177010178565979,4.3265016078948975,0.7279533708208501,3.9309778262739775e-05,0.00013667912734787374,0.712393698836772,5.278717219829559,4.901745465993882,0.07690561585682877,0.5820299845149053,-0.40445865330085984,2.4390345706906102,5.134314448913541,3.5980931908667824,0.42695427176434025,0.6494423233357025,False
