cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6028,diffusion_weight_0.10,6.072564601898193,2.495171253945415,3.5773933479527784,0.8512610793113708,1.091975748538971,1.1072558164596558,0.9862000563071853,1.1631417274475098,1.4535590410232544,0.004503641863805602,33.87193291939651,0.17226660194178756,2.754544105529785,0.6115609167347671,6.072558273100565,6.328797628185612e-06,0.9220702536610689,0.0013411133771663586,0.0012997923147823056,4.132106238380986e-05,0.16240466130663744,39.37007874015748,0.8333333333333334,0.10000000000000009,0.2954107996818104,0.9703977793945984,0.13737223993587697,0.02836801516641696,0.9220702536610689,39.37007874015748,0.9954963581361944,7.379496465114957,1.0802133083343506,0.04292177494224527,False,0.241797536611557,0.3109492063522339,0.22238895719304055,0.2863852083683014,0.4175356328487396,0.3141059448881816,0.29996591806411743,0.467657208442688,0.3585773668217099,0.9989618062973022,1.0470943450927734,0.0459677191659426,1.0631676316261292,5.333611965179443,0.8006664829449474,2.9031850562148556e-05,7.500562889716899e-05,0.6129377089558097,4.569720336198807,4.928185555934906,0.07273776842765337,0.06738323793648875,-0.2918466770149447,1.2308857466725183,2.833649452423661,3.57313104792202,0.20695619208492505,0.7776110428069595,True
0,6028,diffusion_weight_0.20,6.072564601898193,2.495171253945415,3.5773933479527784,0.8677970170974731,1.089965283870697,1.1072558164596558,0.9843843379895321,1.1665372848510742,1.4552139043807983,0.0032249898349065195,33.76069668037946,0.17917642857347893,3.0690169811248786,0.6229185174910068,6.072558724548451,5.877349742000604e-06,0.922166634641755,0.0013514294949243943,0.0013082907095293727,4.3138785395021025e-05,0.13313954429203712,39.37007874015748,0.8333333333333334,0.10000000000000009,0.2909192242445186,1.01395196299331,0.13725988787465862,0.029505891112488136,0.922166634641755,39.37007874015748,0.9967750101650935,7.35738914399946,1.0773885250091553,0.0464727466597837,False,0.23823580145835876,0.3109492063522339,0.2338433525747854,0.2880677878856659,0.4175356328487396,0.3100761582424654,0.29776935279369354,0.467657208442688,0.3632743226918835,0.9979124963283539,1.0470943450927734,0.04696983513941335,1.0742952823638916,5.333611965179443,0.7985801574285039,2.7543754501194558e-05,7.500562889716899e-05,0.6327775007532246,4.529536331892014,4.928185555934906,0.08089168305824199,0.0690912103624228,-0.2918466770149447,1.236738040224062,2.8125344736617164,3.57313104792202,0.21286556917710425,0.7661566474252146,True
0,6028,diffusion_weight_0.30,6.072564601898193,2.495171253945415,3.5773933479527784,0.889775276184082,1.094402015209198,1.1072558164596558,0.9883912994094205,1.1694670915603638,1.4567222595214844,0.0011511080183766737,33.674763071532034,0.1833842773004335,3.3540244197845475,0.6259235952623212,6.072559022029721,5.579868472160854e-06,0.9191817745316753,0.0013540340681479357,0.0013101319098636653,4.3902158284196826e-05,0.11714932941173384,39.37007874015748,0.8333333333333334,0.19999999999999996,0.2812612919248966,1.0473935234241405,0.14303320113702517,0.030198819343616456,0.9191817745316753,39.37007874015748,0.9988488919816233,7.340380349367959,1.0740748643875122,0.049414772155434154,False,0.23497708141803741,0.3109492063522339,0.24432326367843352,0.29068467020988464,0.4175356328487396,0.30380871154249295,0.29822225868701935,0.467657208442688,0.3623058656999898,0.996052622795105,1.0470943450927734,0.048746058592405175,1.0699490904808044,5.333611965179443,0.7993950258350286,2.7157223448292185e-05,7.500562889716899e-05,0.6379308613554308,4.501305989027024,4.928185555934906,0.08662002720124859,0.06583991927871305,-0.2918466770149447,1.2255976321270279,2.7944299889482362,3.57313104792202,0.21793240956741375,0.7556767363215665,True
0,6028,diffusion_weight_0.40,6.072564601898193,2.495171253945415,3.5773933479527784,0.88996821641922,1.1035085320472717,1.1072558164596558,0.9966157013070696,1.1719036102294922,1.4580485820770264,-0.000998858716121638,33.62382123354064,0.183947775364544,3.7533743095397973,0.6187206538427201,6.0725585406622145,6.061235978904733e-06,0.9134368647155481,0.0013483029794563173,0.0013047880394441423,4.351494001226535e-05,0.11773803885551093,39.37007874015748,0.8333333333333334,0.19999999999999996,0.2657715011591496,1.0657606112366316,0.148240488572046,0.030291613524074834,0.9134368647155481,39.37007874015748,1.0009988587161216,7.329464598613545,1.0706284046173096,0.05185294924361837,False,0.2322542816400528,0.3109492063522339,0.25307967701656664,0.29420776665210724,0.4175356328487396,0.29537087734332435,0.301501139998436,0.467657208442688,0.3552945735564657,0.9930956661701202,1.0470943450927734,0.05157002248719896,1.0630351901054382,5.333611965179443,0.8006913144327938,2.7964881937838025e-05,7.500562889716899e-05,0.6271628896522254,4.464429779052734,4.928185555934906,0.09410274260547696,0.056983246388446075,-0.2918466770149447,1.1952506260180173,2.7819492976721536,3.57313104792202,0.2214253380686902,0.7469203229834334,True
0,6028,diffusion_weight_0.50,6.072564601898193,2.495171253945415,3.5773933479527784,0.9075655341148376,1.1123165488243103,1.1072558164596558,1.004570517751567,1.1735413074493408,1.4591641426086426,-0.003059977932638698,33.618563089139684,0.18226443338765996,3.673051080703736,0.5971580295331638,6.072558572664448,6.029233745152851e-06,0.9049438761331671,0.0013340125783340984,0.0012920772067926264,4.193537154153736e-05,0.13514987255858646,39.37007874015748,0.8333333333333334,0.19999999999999996,0.24424639223102482,1.0645669546662835,0.1425524133922799,0.03001440859303517,0.9049438761331671,39.37007874015748,1.0030599779326388,7.325217973803326,1.0672098398208618,0.05337620248536967,False,0.23033884167671204,0.3109492063522339,0.25923965402956795,0.2985488474369049,0.4175356328487396,0.28497396641340067,0.30754509568214417,0.467657208442688,0.34237067208633815,0.9894603490829468,1.0470943450927734,0.055041836755139996,1.061470627784729,5.333611965179443,0.8009846545428212,3.000232607664741e-05,7.500562889716899e-05,0.5999990065041664,4.446710078716278,4.928185555934906,0.09769832563199603,0.042306574402960456,-0.2918466770149447,1.1449616450517066,2.777681373259664,3.57313104792202,0.2226197875179965,0.740760345970432,True
1,6029,diffusion_weight_0.10,2.561024904251098,2.575483893513422,0.014458989262323918,0.4650654196739197,1.122402310371399,1.0970065593719482,1.023150044803734,1.1213140487670898,1.4075236320495605,0.012239146571820002,35.1384154780644,0.03533732546779467,1.4223252105712874,0.137899545694933,2.5610224010400886,2.5032110095857263e-06,0.8251367990668487,0.0017347482295744232,0.0016835798108831956,5.116841869118785e-05,0.06157073649366129,47.24409448818898,1.2,0.09090909090909083,0.19102241166291473,0.46752096181350655,0.14961379239867853,0.013798118649432922,0.8251367990668487,47.24409448818898,0.98776085342818,7.696442289535555,0.9928998947143555,0.047318563645328514,False,0.2534335106611252,0.33592918515205383,0.24557459767476914,0.2999768555164337,0.42805883288383484,0.2992158262557324,0.3153393715620041,0.510769784450531,0.38261936950472586,0.9960518777370453,0.9801638126373291,0.016209601798056725,0.9774119555950165,4.758741855621338,0.7946070652182081,3.332211241150914e-05,8.534350720412351e-05,0.6095530462345573,4.4920739388465885,4.748620142936707,0.05402542135776341,-0.0769155148081572,0.02843638546901522,3.7048274082500985,2.8234611018139963,3.2065898112639726,0.11948167118355393,0.7544254023252308,True
1,6029,diffusion_weight_0.20,2.561024904251098,2.575483893513422,0.014458989262323918,0.4807383120059967,1.1205857992172241,1.0970065593719482,1.0214941648651357,1.122621774673462,1.4075392484664917,0.012493270567470684,35.061013489705154,0.041832392804415974,1.4936965847015369,0.1479001003050675,2.5610225217929505,2.382458147653921e-06,0.8224471962249419,0.001752136267996196,0.0016983022866069494,5.383398138926982e-05,0.019079321036537422,47.24409448818898,1.2,0.09090909090909083,0.19227391966181334,0.5013816666208419,0.14850141177752205,0.01633423894430197,0.8224471962249419,47.24409448818898,0.9875067294325293,7.679962741518395,0.9894684553146362,0.046865945732892884,False,0.24958521872758865,0.33592918515205383,0.25703026185528577,0.2995408624410629,0.42805883288383484,0.30023436165759176,0.3101790100336075,0.510769784450531,0.3927224760029851,0.9849556386470795,0.9801638126373291,0.004888801186055817,0.9604266583919525,4.758741855621338,0.7981763483855646,3.0622411374934374e-05,8.534350720412351e-05,0.6411863962692314,4.499427049160004,4.748620142936707,0.05247694830831287,-0.0793246314218031,0.02843638546901522,3.7895469172140954,2.8155320236532146,3.2065898112639726,0.12195441594589577,0.7429697381447142,True
1,6029,diffusion_weight_0.30,2.561024904251098,2.575483893513422,0.014458989262323918,0.49071577191352844,1.1195719242095947,1.0970065593719482,1.0205699452249086,1.124235987663269,1.4075822830200195,0.013067621616477879,35.028824505524554,0.04931953541136913,1.528572397232054,0.15614738513708404,2.561022483438298,2.420812799996952e-06,0.8201007373798054,0.00176004736227231,0.0017046150869049585,5.543227536729039e-05,0.01343232845990805,47.24409448818898,1.2,0.0,0.19322563496220013,0.5373339536589485,0.14788813359237177,0.019257733497722196,0.8201007373798054,47.24409448818898,0.9869323783835221,7.67267158019606,0.9866848587989807,0.04542573369217654,False,0.2461293414235115,0.33592918515205383,0.26731777915603144,0.3001297265291214,0.42805883288383484,0.29885870008301035,0.30771948397159576,0.510769784450531,0.3975378079526962,0.9725355803966522,0.9801638126373291,0.007782609541716886,0.9447339773178101,4.758741855621338,0.8014740017465272,2.8938514571228868e-05,8.534350720412351e-05,0.6609172095304907,4.512451941967011,4.748620142936707,0.04973406881596593,-0.08155256636547384,0.02843638546901522,3.867894952905844,2.8111613080902536,3.2065898112639726,0.12331745762575387,0.7326822208439685,True
1,6029,diffusion_weight_0.40,2.561024904251098,2.575483893513422,0.014458989262323918,0.5117555260658264,1.1220037937164307,1.0970065593719482,1.0227867683478518,1.0671162605285645,1.3450345993041992,0.010712208433501609,34.38194075712337,0.0432745662173919,0.7614346837997417,0.16568586143914255,2.5610223368048097,2.5674462884595073e-06,0.809659398848654,0.0017460868115534156,0.001694817234149298,5.126957740423973e-05,0.04880037404381632,47.24409448818898,1.2,0.19999999999999996,0.16298023461359562,0.3516752933059646,0.15953783250480383,0.016897362670915683,0.809659398848654,47.24409448818898,0.9892877915664984,7.542145425111641,1.0429233312606812,0.03208540723074412,False,0.2428572177886963,0.33592918515205383,0.2770582952512142,0.3017946779727936,0.42805883288383484,0.2949691612725263,0.30830127000808716,0.510769784450531,0.396398770260564,0.9589048326015472,0.9801638126373291,0.021689211294773546,0.9331993758678436,4.758741855621338,0.8038978780146506,2.8380086559637932e-05,8.534350720412351e-05,0.6674605076662855,4.52192420244217,4.748620142936707,0.047739329251621374,-0.08334963994927054,0.02843638546901522,3.931091226066328,2.8091454305518413,3.2065898112639726,0.12394612473226402,0.7229417047487857,True
1,6029,diffusion_weight_0.50,2.561024904251098,2.575483893513422,0.014458989262323918,0.5140959024429321,1.1262360215187073,1.0970065593719482,1.0266447469224735,1.0632925033569336,1.3430888652801514,0.01352083841512956,34.36760157234751,0.037819415424786396,0.7072489309310903,0.17308183517515974,2.561022400263782,2.5039873161603055e-06,0.7876557652255304,0.0017401185092471572,0.001688405796094148,5.171271315269813e-05,0.02835855413498667,47.24409448818898,1.2,0.19999999999999996,0.1649409808080698,0.3182863352373104,0.17062868848176974,0.014767297043289718,0.7876557652255304,47.24409448818898,0.9864791615848705,7.534059263467913,1.0443733930587769,0.03132489965078553,False,0.24030225723981857,0.33592918515205383,0.28466394745949514,0.30451805889606476,0.42805883288383484,0.28860699627543057,0.31202708184719086,0.510769784450531,0.3891042670371367,0.944491982460022,0.9801638126373291,0.03639374328799678,0.9204871654510498,4.758741855621338,0.806569216532788,2.9007027248000584e-05,8.534350720412351e-05,0.6601144223119171,4.537380584478378,4.748620142936707,0.0444844085439293,-0.08446253114007801,0.02843638546901522,3.970227395183887,2.8080222869093534,3.2065898112639726,0.12429638582226767,0.7153360525405049,True
