growth_run_id,source_split_provenance,full23_outer_loo_role,canonical_removelist_changed
6022,val,held_once,False
6028,train,held_once,False
6029,train,held_once,False
6033,test,held_once,False
6047,train,held_once,False
6048,train,held_once,False
6056,val,held_once,False
6057,train,held_once,False
6062,train,held_once,False
6063,train,held_once,False
6070,train,held_once,False
6072,train,held_once,False
6078,train,held_once,False
6080,val,held_once,False
6081,test,held_once,False
6082,train,held_once,False
6084,train,held_once,False
6085,train,held_once,False
6090,train,held_once,False
6094,test,held_once,False
6095,train,held_once,False
6099,test,held_once,False
6101,test,held_once,False
