target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M12a_frozen_alpha1,1.0,23,1.7480819285347649,0.9787549067821608,0.15802735810837593,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081;6072;6070;6084;6029;6082;6057;6028;6056;6047;6094;6101
FSMI_nm,M12a_frozen_alpha1,0.9130434782608695,21,1.8511640129921385,1.6830763925904253,0.04827953764585625,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081;6072;6070;6084;6029;6082;6057;6028;6056;6047
FSMI_nm,M12a_frozen_alpha1,0.8260869565217391,19,2.012922222485276,1.897502976068087,0.04310898007800354,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081;6072;6070;6084;6029;6082;6057;6028
FSMI_nm,M12a_frozen_alpha1,0.7391304347826086,17,2.1779178832502737,1.9600404187336478,0.011848459917722945,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081;6072;6070;6084;6029;6082
FSMI_nm,M12a_frozen_alpha1,0.6086956521739131,14,2.511078933941325,2.111013320501523,-0.09500236100832676,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081;6072;6070
FSMI_nm,M12a_frozen_alpha1,0.5217391304347826,12,2.697543093326173,2.3574049873825507,-0.14343615569233187,6090;6022;6099;6080;6095;6085;6033;6062;6063;6078;6048;6081
FSMI_nm,M14a_regularized_alpha10,1.0,23,1.4690108829520958,0.8987774741434058,0.24732039843718734,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084;6082;6081;6094;6029;6028;6057;6070;6062;6056;6047;6101
FSMI_nm,M14a_regularized_alpha10,0.9130434782608695,21,1.5608298113096626,0.9492970528213245,0.15165386333742653,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084;6082;6081;6094;6029;6028;6057;6070;6062;6056
FSMI_nm,M14a_regularized_alpha10,0.8260869565217391,19,1.6931016381491544,1.0375447494159857,0.14608106131434145,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084;6082;6081;6094;6029;6028;6057;6070
FSMI_nm,M14a_regularized_alpha10,0.7391304347826086,17,1.8133953310603783,1.0786244563916316,0.14263591597975206,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084;6082;6081;6094;6029;6028
FSMI_nm,M14a_regularized_alpha10,0.6086956521739131,14,2.04034516113915,1.2674047288259889,0.10151246266537005,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084;6082;6081
FSMI_nm,M14a_regularized_alpha10,0.5217391304347826,12,2.297103272619538,1.5457588887923586,0.041446217685700226,6099;6090;6063;6022;6095;6080;6033;6078;6085;6072;6048;6084
FSMI_nm,M14b_rheed_density_weighted,1.0,23,1.3159379293145927,0.7712581562654957,0.2806374443566244,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072;6082;6029;6048;6057;6028;6062;6094;6070;6047;6056;6101
FSMI_nm,M14b_rheed_density_weighted,0.9130434782608695,21,1.417654278149052,0.7775989085108765,0.2098868547727177,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072;6082;6029;6048;6057;6028;6062;6094;6070;6047
FSMI_nm,M14b_rheed_density_weighted,0.8260869565217391,19,1.5348651950913759,0.8368240030779965,0.21441160261691064,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072;6082;6029;6048;6057;6028;6062;6094
FSMI_nm,M14b_rheed_density_weighted,0.7391304347826086,17,1.6584536652793505,0.9004169177216617,0.21282661660273042,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072;6082;6029;6048;6057;6028
FSMI_nm,M14b_rheed_density_weighted,0.6086956521739131,14,1.899735879627084,1.1719941004361787,0.14002146403040164,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072;6082;6029
FSMI_nm,M14b_rheed_density_weighted,0.5217391304347826,12,2.1240762547594354,1.4391413327672016,0.08784325049539879,6099;6090;6063;6095;6080;6022;6085;6078;6033;6081;6084;6072
FSMI_nm,M14c_residual_self_paced,1.0,23,1.3685801595457414,0.7026205308160474,0.2034310056556082,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094;6056;6072;6033;6082;6062;6081;6047;6057;6070;6028;6101
FSMI_nm,M14c_residual_self_paced,0.9130434782608695,21,1.3140916450282034,0.6709803013405353,0.21840334861106886,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094;6056;6072;6033;6082;6062;6081;6047;6057;6070
FSMI_nm,M14c_residual_self_paced,0.8260869565217391,19,1.4015745739988414,0.6709803013405353,0.204015128277001,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094;6056;6072;6033;6082;6062;6081;6047
FSMI_nm,M14c_residual_self_paced,0.7391304347826086,17,1.5408160099164234,0.7026205308160474,0.18700280597191926,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094;6056;6072;6033;6082;6062
FSMI_nm,M14c_residual_self_paced,0.6086956521739131,14,1.7373627790405404,0.8725002917302612,0.17476119150664007,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094;6056;6072
FSMI_nm,M14c_residual_self_paced,0.5217391304347826,12,1.954114600454103,1.2832157739655106,0.12949325263715394,6099;6095;6080;6063;6090;6085;6084;6078;6022;6048;6029;6094
FSMI_nm,M14d_r3d_causal_temporal,1.0,23,1.4924290651111753,1.3000408981073392,0.4685403259024443,6080;6081;6028;6095;6099;6078;6085;6063;6048;6022;6084;6090;6057;6029;6070;6047;6062;6056;6072;6082;6033;6094;6101
FSMI_nm,M14d_r3d_causal_temporal,0.9130434782608695,21,1.5885660702830113,1.3828798334651333,0.43839560024606194,6080;6081;6028;6095;6099;6078;6085;6063;6048;6022;6084;6090;6057;6029;6070;6047;6062;6056;6072;6082;6033
FSMI_nm,M14d_r3d_causal_temporal,0.8260869565217391,19,1.6721015460630522,1.3828798334651333,0.4459311122597802,6080;6081;6028;6095;6099;6078;6085;6063;6048;6022;6084;6090;6057;6029;6070;6047;6062;6056;6072
