target,method,coverage,retained_growth_group_count,mae,median_absolute_error,pearson_r,retained_growth_run_ids
FSMI_nm,M12a_frozen_alpha1,1.0,23,1.7480819285347646,0.9787549067821608,0.15802735810837595,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078;6047;6072;6095;6070;6028;6033;6085;6094;6099;6090;6022
FSMI_nm,M12a_frozen_alpha1,0.9130434782608695,21,1.5962070654662828,0.8870849791963857,0.22616955631533636,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078;6047;6072;6095;6070;6028;6033;6085;6094;6099
FSMI_nm,M12a_frozen_alpha1,0.8260869565217391,19,1.410879342369963,0.8870849791963857,0.27390198362962503,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078;6047;6072;6095;6070;6028;6033;6085
FSMI_nm,M12a_frozen_alpha1,0.7391304347826086,17,1.2539005012091247,0.8363515871322055,0.42199484857539143,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078;6047;6072;6095;6070;6028
FSMI_nm,M12a_frozen_alpha1,0.6086956521739131,14,1.0089286913946673,0.7801437143563272,0.26093693559781295,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078;6047;6072
FSMI_nm,M12a_frozen_alpha1,0.5217391304347826,12,1.0742161348138184,0.7801437143563272,0.2450856817614271,6029;6062;6081;6084;6101;6056;6082;6063;6048;6080;6057;6078
FSMI_nm,M14a_regularized_alpha10,1.0,23,1.4690108829520965,0.8987774741434058,0.24732039843718734,6029;6081;6084;6101;6062;6048;6078;6082;6056;6057;6070;6063;6080;6072;6047;6033;6028;6085;6095;6094;6099;6090;6022
FSMI_nm,M14a_regularized_alpha10,0.9130434782608695,21,1.3334783079971093,0.8553220897627152,0.4077402113199462,6029;6081;6084;6101;6062;6048;6078;6082;6056;6057;6070;6063;6080;6072;6047;6033;6028;6085;6095;6094;6099
FSMI_nm,M14a_regularized_alpha10,0.8260869565217391,19,1.0976152620096813,0.8553220897627152,0.5169844563110579,6029;6081;6084;6101;6062;6048;6078;6082;6056;6057;6070;6063;6080;6072;6047;6033;6028;6085;6095
FSMI_nm,M14a_regularized_alpha10,0.7391304347826086,17,0.8932828673509663,0.8507130490336454,0.4333576226797679,6029;6081;6084;6101;6062;6048;6078;6082;6056;6057;6070;6063;6080;6072;6047;6033;6028
