outer_fold,held_growth_run_id,held_source_split,fit_growth_count,fit_growth_run_ids,held_overlap_with_fit,condition_inner_growth_count,spectral_train_growth_count,spectral_train_growth_run_ids,island_train_growth_count,island_train_growth_run_ids,spectral_selected_alpha,island_selected_alpha,runtime_seconds
0,6022,val,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,6.638023853302002
1,6028,train,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.747280836105347
2,6029,train,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.8501598834991455
3,6033,test,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.8421502113342285
4,6047,train,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.802830219268799
5,6048,train,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.742446184158325
6,6056,val,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.7393670082092285
7,6057,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6062', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.862467050552368
8,6062,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6063', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.727595806121826
9,6063,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6070', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.88031268119812
10,6070,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6072', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.88578724861145
11,6072,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6078', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.734741926193237
12,6078,train,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6080', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.998183250427246
13,6080,val,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6081', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.804750919342041
14,6081,test,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",False,22,22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",22,"['6022', '6028', '6029', '6033', '6047', '6048', '6056', '6057', '6062', '6063', '6070', '6072', '6078', '6080', '6082', '6084', '6085', '6090', '6094', '6095', '6099', '6101']",1.0,30.0,5.798489809036255
