candidate_id,embedding_id,model_family,model_hyperparameter,inner_loo_mae_z,val_condition_mae_z,val_rq_mae_nm,val_selection_score,val_condition_sensitivity,val_correct_condition_wins,val_condition_group_count,condition_gate_passed,selected
r3d_18__selected_16__raw_luminance__pls_1,r3d_18__selected_16__raw_luminance,PLSRegression,1.0,0.7405431270599365,0.7216253876686096,0.8851506967001397,0.6133797027333721,0.5604340434074402,2,3,True,True
dino_vits14__centered_8__raw_luminance__pls_1,dino_vits14__centered_8__raw_luminance,PLSRegression,1.0,0.849319577217102,0.7806727886199951,0.9100166418803969,0.6596924145525882,0.5464568734169006,2,3,True,False
dino_vits14__centered_8__raw_luminance__pls_2,dino_vits14__centered_8__raw_luminance,PLSRegression,2.0,0.835563600063324,0.7995986938476562,0.926046556100571,0.6751936596188258,0.6068764328956604,2,3,True,False
dino_vits14__centered_8__raw_luminance__pls_3,dino_vits14__centered_8__raw_luminance,PLSRegression,3.0,0.9897883534431458,0.8478080034255981,1.2123353738241631,0.7346899338369274,0.6415420770645142,1,3,False,False
dino_vits14__keyframe_1__raw_luminance__pls_1,dino_vits14__keyframe_1__raw_luminance,PLSRegression,1.0,0.8348744511604309,0.8540524244308472,1.241222566232407,0.741728237204554,0.7065245509147644,1,3,False,False
dino_vits14__keyframe_1__raw_luminance__pls_3,dino_vits14__keyframe_1__raw_luminance,PLSRegression,3.0,0.9813446402549744,0.9100666046142578,1.2774049697968601,0.7866885917549097,0.6919024586677551,1,3,False,False
dino_vits14__centered_8__raw_luminance__ridge_alpha_100,dino_vits14__centered_8__raw_luminance,Ridge,100.0,1.3986897114664316,0.9289417266845703,1.23176664696666,0.7971243334149376,0.5996449589729309,1,3,False,False
dino_vits14__keyframe_1__raw_luminance__pls_2,dino_vits14__keyframe_1__raw_luminance,PLSRegression,2.0,0.9053475856781006,0.9122933149337769,1.3969562310629327,0.7981048724339043,0.5909265875816345,1,3,False,False
r3d_18__selected_16__raw_luminance__pls_2,r3d_18__selected_16__raw_luminance,PLSRegression,2.0,0.8084059357643127,0.8782417178153992,1.7938145258678235,0.8049194872828885,0.3809455633163452,1,3,False,False
dino_vits14__keyframe_1__raw_luminance__ridge_alpha_100,dino_vits14__keyframe_1__raw_luminance,Ridge,100.0,1.0322242192717062,0.9347801208496094,1.9427822687877454,0.8594676746707401,0.6210358738899231,0,3,False,False
r3d_18__selected_16__raw_luminance__ridge_alpha_100,r3d_18__selected_16__raw_luminance,Ridge,100.0,0.9430265376896219,1.0183571577072144,2.3116826473328707,0.9522245353152176,0.7532185316085815,0,3,False,False
r3d_18__selected_16__raw_luminance__pls_3,r3d_18__selected_16__raw_luminance,PLSRegression,3.0,0.7936050891876221,1.121854543685913,2.647093162800197,1.0571914439528767,0.9702198505401611,0,3,False,False
