experiment_id,method_family,rheed_condition_model,validation_rq_mae_nm,validation_descriptor_mae_z,validation_psd_distance,validation_sharpness_ratio,validation_texture_gate_fraction,validation_condition_wins,development_cross_validation,decision
sharp_v1_m1,previous_CVAE,ridge_centered8,1.519301,2.701856,0.686376,0.441324,0.000000,not_applicable,not_run,blur_baseline_only
sharp_v1_m2,conditional_spectral_random_field,ridge_centered8,1.519301,1.372044,0.568857,1.193119,0.666667,2/3,not_run,first_nonflat_generator
sharp_v1_m3,adversarial_spectral_refiner,ridge_centered8,1.519301,0.957839,0.611315,1.153406,0.666667,2/3,not_run,improved_descriptors
sharp_v2_m2,conditional_spectral_random_field,r3d16_PLS1,1.088605,1.190066,0.518638,1.344819,0.666667,1/3,not_run,condition_signal_lost_in_spectral_regression
sharp_v3_m2b,descriptor_calibrated_spectral,r3d16_PLS1,1.088605,0.658914,0.813154,1.281602,0.666667,2/3,15_group_LOO_texture_14_of_15,condition_calibration_candidate
sharp_v3_m3b,descriptor_calibrated_adversarial_refiner,r3d16_PLS1,1.088605,0.578254,0.864614,1.249217,0.666667,3/3,not_run,visual_refinement_candidate
sharp_v4_m0,mean_condition_calibrated_spectral,none,1.119747,0.630884,0.869970,1.238455,1.000000,not_applicable,15_group_LOO_descriptor_0.848655,unconditional_mean_control
sharp_v4_m2b,descriptor_calibrated_spectral,hybrid_keyframe_SVR_Rq_plus_r3d16_PLS_shape,1.205016,0.659158,0.859652,1.284310,0.666667,3/3,15_group_LOO_descriptor_0.826131_texture_14_of_15,best_balanced_development_method
sharp_v4_m3b,descriptor_calibrated_adversarial_refiner,hybrid_keyframe_SVR_Rq_plus_r3d16_PLS_shape,1.205016,0.628176,1.030758,1.231169,1.000000,2/3,not_run,optional_visual_refiner
sharp_v4_m0b,mean_condition_adversarial_refiner,none,1.119747,0.546488,1.113309,1.195632,1.000000,not_applicable,not_run,strong_unconditional_control
