outer_fold,model_id,rank,neighbor_sample_id,neighbor_true_rq_nm,distance,selected_parameters
6099,L1_DINO_kNN,1,6081,1.5293935537338257,0.2846019990758088,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.4096026735234215, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E1_dino"", ""weights"": ""inverse_distance""}"
6099,L1_DINO_kNN,2,6094,4.0928850173950195,0.5303279913004713,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.4096026735234215, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E1_dino"", ""weights"": ""inverse_distance""}"
6099,L1_DINO_kNN,3,6078,1.7082476019859314,0.5634914062658358,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.4096026735234215, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E1_dino"", ""weights"": ""inverse_distance""}"
6099,L1_DINO_kNN,4,6062,3.093057870864868,0.6611530628163466,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.4096026735234215, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E1_dino"", ""weights"": ""inverse_distance""}"
6099,L1_DINO_kNN,5,6095,9.791423797607422,0.7212808091784191,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.4096026735234215, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E1_dino"", ""weights"": ""inverse_distance""}"
6099,L2_fused_kNN,1,6085,2.74203884601593,0.7831521859598223,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.408264106515393, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E5_fused"", ""weights"": ""inverse_distance""}"
6099,L2_fused_kNN,2,6081,1.5293935537338257,0.8803669831991334,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.408264106515393, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E5_fused"", ""weights"": ""inverse_distance""}"
6099,L2_fused_kNN,3,6062,3.093057870864868,0.9353173350741036,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.408264106515393, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E5_fused"", ""weights"": ""inverse_distance""}"
6099,L2_fused_kNN,4,6070,2.8089470863342285,0.9420664332670076,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.408264106515393, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E5_fused"", ""weights"": ""inverse_distance""}"
6099,L2_fused_kNN,5,6084,1.5506356358528135,0.9424088508531132,"{""distance"": ""cosine"", ""gate"": null, ""inner_mae"": 1.408264106515393, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_mean"", ""representation"": ""E5_fused"", ""weights"": ""inverse_distance""}"
6099,L3_regime_gated_kNN,1,6085,2.74203884601593,0.8359063848455188,"{""distance"": ""cosine"", ""gate"": ""regime_a"", ""inner_mae"": 1.6314373395659707, ""k"": 3, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L3_regime_gated_kNN,2,6090,2.861668348312378,0.9311939318415556,"{""distance"": ""cosine"", ""gate"": ""regime_a"", ""inner_mae"": 1.6314373395659707, ""k"": 3, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L3_regime_gated_kNN,3,6062,3.093057870864868,0.948269494310001,"{""distance"": ""cosine"", ""gate"": ""regime_a"", ""inner_mae"": 1.6314373395659707, ""k"": 3, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L4_cluster_gated_kNN,1,6084,1.5506356358528135,0.8943982281773653,"{""distance"": ""cosine"", ""gate"": ""cluster_b"", ""inner_mae"": 2.0567339198155836, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L4_cluster_gated_kNN,2,6081,1.5293935537338257,0.948291505342923,"{""distance"": ""cosine"", ""gate"": ""cluster_b"", ""inner_mae"": 2.0567339198155836, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L4_cluster_gated_kNN,3,6022,1.6494020223617554,0.960352371074817,"{""distance"": ""cosine"", ""gate"": ""cluster_b"", ""inner_mae"": 2.0567339198155836, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L4_cluster_gated_kNN,4,6082,1.8638947010040283,1.0183888658025764,"{""distance"": ""cosine"", ""gate"": ""cluster_b"", ""inner_mae"": 2.0567339198155836, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
6099,L4_cluster_gated_kNN,5,6078,1.7082476019859314,1.0205220363564778,"{""distance"": ""cosine"", ""gate"": ""cluster_b"", ""inner_mae"": 2.0567339198155836, ""k"": 5, ""pca_dim"": null, ""reducer"": ""weighted_median"", ""representation"": ""E5_fused"", ""weights"": ""uniform""}"
