subset,source,growth_count,mean_dark_fraction,mean_largest_dark_component_fraction,mean_display_median,mean_display_mean,mean_height_skewness
all27,real,27,0.0428971184624566,0.004589080810546875,0.5502023376351554,0.5389404084302705,-0.2995252389670472
all27,m21,27,0.10674596715856481,0.023048683449074073,0.43792513614381084,0.4475416944562126,0.22251900982763265
all27,inclusive,27,0.0683322482638889,0.012984664351851851,0.4944608902733454,0.4978485074363591,0.005991404947072456
all27,exclude_6022_6101,27,0.06804967809606481,0.015783239293981483,0.4927173718124116,0.49742823414099085,0.019503230874406044
measured_Sq_3p5_to_6p0_nm,real,5,0.03236083984375,0.002695465087890625,0.6024243661419957,0.5803216337069428,-0.6396073145583959
measured_Sq_3p5_to_6p0_nm,m21,5,0.1514404296875,0.03603515625,0.39760984388436355,0.40905248684527046,0.3750208423316691
measured_Sq_3p5_to_6p0_nm,inclusive,5,0.0334228515625,0.002880859375,0.5575673508337111,0.551803092727755,-0.22245323786988705
measured_Sq_3p5_to_6p0_nm,exclude_6022_6101,5,0.03421630859375,0.003173828125,0.5633940282026875,0.5564154820229241,-0.2766392747751304
predicted_intermediate_3p0_to_6p0_nm,real,8,0.03333234786987305,0.002681732177734375,0.5933364056308351,0.5749720771240505,-0.5490642648629098
predicted_intermediate_3p0_to_6p0_nm,m21,8,0.1495361328125,0.03458404541015625,0.38803477234013783,0.4018920921440591,0.409477715822764
predicted_intermediate_3p0_to_6p0_nm,inclusive,8,0.03163909912109375,0.00279998779296875,0.5651883177695394,0.5592632389331291,-0.26336122549328256
predicted_intermediate_3p0_to_6p0_nm,exclude_6022_6101,8,0.03223419189453125,0.0030059814453125,0.5663008264415541,0.5604558562863186,-0.2713232737268375
